#subj_idx response rt stim
6 0 1.703 2
6 1 2.0676 2
6 1 0.9065 2
6 1 0.9543000002 2
6 1 0.8887000003 2
6 1 0.7225999999 2
6 0 0.9541999998 2
6 1 0.7845 2
6 1 1.2389 2
6 1 0.8245 2
6 0 0.9304000001 2
6 1 0.5447000003 2
6 1 0.6011999998 2
6 1 0.6301000004 2
6 0 0.8645999999 2
6 1 0.5608000002 2
6 0 0.7965 2
6 1 0.713 2
6 1 0.8731999998 2
6 1 0.9144000001 2
6 0 1.426 2
6 1 1.1634 2
6 1 0.9078000002 2
6 1 0.8570999999 2
6 1 1.1397 2
6 0 1.0407 2
6 1 1.0865 2
6 1 1.3462 2
6 1 0.8485999999 2
6 1 0.722 2
6 1 0.9395 2
6 0 0.65 2
6 1 0.7752999997 2
6 1 0.8240999999 2
6 1 0.5913999996 2
6 1 0.9925 2
6 1 0.8888999996 2
6 1 1.1779 2
6 1 1.1812 2
6 1 0.7129000001 2
6 0 0.94 2
6 1 0.76 2
6 1 0.7828999996 2
6 1 1.4222 2
6 1 0.7235999999 2
6 1 0.8104000001 2
6 1 1.0237 2
6 1 0.7844000001 2
6 1 0.9522000003 2
6 1 0.7491999998 2
6 0 1.1501 2
6 0 0.8402000003 2
6 1 0.9115 2
6 0 0.9972000003 2
