#subj_idx response rt stim
0 1 0.9321000001 1
0 1 0.8007 1
0 1 1.3571 1
0 1 1.4029 1
0 1 1.1162 1
0 1 1.0761 1
0 1 1.0039 1
0 1 1.353 1
0 1 0.6886000001 1
0 1 0.859 1
0 1 0.6585999999 1
0 0 1.0813 1
0 1 0.9355 1
0 1 0.8795 1
0 1 0.6065 1
0 1 0.9772 1
0 0 1.2727 1
0 1 0.5023999999 1
0 1 0.7950999999 1
0 1 0.7391999998 1
0 1 0.9016000001 1
0 1 1.0044 1
0 1 1.1084 1
0 1 0.7475999999 1
0 1 0.8439000001 1
0 0 1.0279 1
0 0 0.7611999998 1
0 1 1.2117 1
0 0 1.653 1
0 0 0.9625 1
0 1 0.9548 1
0 1 0.8438999999 1
0 1 0.8745 1
0 1 0.6198 1
0 1 1.0342 1
0 1 0.8084000001 1
0 1 0.8515 1
0 1 0.7003 1
0 1 0.8038 1
0 1 0.5428 1
0 1 0.6608 1
0 1 0.6427 1
0 1 0.8158 1
0 1 0.7105 1
0 1 1.0244 1
0 1 0.7128 1
0 1 0.5207 1
0 1 0.722 1
0 1 0.7789000001 1
0 1 0.6552 1
0 1 0.7132 1
0 1 0.6885999999 1
0 1 0.6162 1
0 1 0.634 1
