#subj_idx response rt stim
0 1 0.822 2
0 1 0.716 2
0 1 0.9478999999 2
0 1 0.963 2
0 1 1.5069 2
0 1 0.921 2
0 1 0.7692 2
0 1 0.7387 2
0 1 0.8424000001 2
0 1 0.6508 2
0 1 1.2173 2
0 1 1.1861 2
0 1 1.3616 2
0 1 0.4637 2
0 1 0.8893 2
0 1 0.8402 2
0 1 0.8 2
0 1 0.6170999999 2
0 1 0.6979000001 2
0 1 0.7871000001 2
0 1 1.1465 2
0 1 0.9231000001 2
0 1 1.1709 2
0 1 0.8836999998 2
0 1 0.6575 2
0 1 1.7399 2
0 1 1.4356 2
0 1 1.3883 2
0 1 0.8838 2
0 0 0.8510999999 2
0 1 0.8501999998 2
0 1 1.5216 2
0 1 0.7471000001 2
0 1 0.9065999999 2
0 1 0.6363 2
0 1 0.7527 2
0 1 0.649 2
0 1 0.5453 2
0 1 0.5545999999 2
0 1 0.6499000001 2
0 1 0.7284000001 2
0 1 0.6263999999 2
0 1 0.6583999999 2
0 1 1.0653 2
0 1 0.7759000001 2
0 1 0.6500999999 2
0 1 0.5368 2
0 1 0.8151000001 2
0 1 0.9931999998 2
0 1 0.7258999999 2
0 1 0.5597 2
0 1 0.6634000001 2
0 1 0.7363999999 2
0 1 0.6098000002 2
