#subj_idx response rt stim
4 0 0.9558 1
4 0 0.6474 1
4 0 1.1852 1
4 1 1.4553 1
4 1 1.2141 1
4 0 0.9656 1
4 0 0.6985 1
4 0 0.7331 1
4 1 0.7627 1
4 1 0.59 1
4 1 0.6613 1
4 1 0.5728 1
4 1 0.6772 1
4 1 0.5631 1
4 0 0.6406 1
4 0 1.0494 1
4 1 0.7316 1
4 1 0.7732 1
4 1 0.8648 1
4 1 0.6315 1
4 1 0.8862 1
4 1 0.8396 1
4 1 0.6607 1
4 0 0.7044 1
4 1 1.2611 1
4 0 0.9574 1
4 0 0.8296 1
4 1 0.7411 1
4 1 0.5644 1
4 1 0.7474 1
4 1 0.5632 1
4 1 0.6602 1
4 1 1.8858 1
4 1 0.7022 1
4 0 0.6271 1
4 0 0.5226 1
4 1 0.5067 1
4 0 0.6348 1
4 1 0.8591 1
4 1 0.8613 1
4 1 1.223 1
4 1 0.62 1
4 0 0.8112 1
4 1 0.8761 1
4 1 0.7865 1
4 1 0.7733 1
4 1 0.8276 1
4 0 0.6743 1
4 1 0.6332 1
4 0 1.0985 1
4 1 0.5552 1
4 0 0.8431 1
4 1 0.6548 1
