#subj_idx response rt stim
1 0 0.6895 0
1 1 0.7925 0
1 1 0.5021 0
1 1 0.6239 0
1 1 0.6228 0
1 1 0.4227 0
1 0 0.5844 0
1 1 0.735 0
1 1 0.6215 0
1 1 0.5997 0
1 0 0.3687 0
1 1 0.8631 0
1 1 0.6471 0
1 1 0.5824 0
1 1 0.9824 0
1 0 0.8213 0
1 1 0.8863 0
1 0 1.2785 0
1 1 0.5163 0
1 1 0.8939 0
1 0 0.8304 0
1 1 0.4391 0
1 1 0.6526 0
1 1 0.9974 0
1 1 0.4364 0
1 1 0.9988 0
1 0 0.7101 0
1 1 0.8143 0
1 1 0.4778 0
1 1 0.5238 0
1 0 0.7391 0
1 0 1.0833 0
1 1 0.8133 0
1 1 0.6628 0
1 1 0.7399 0
1 1 0.5014 0
1 1 0.5989 0
1 1 0.6497 0
1 1 0.8056 0
1 1 0.7044 0
1 1 0.5268 0
1 0 0.7036 0
1 1 0.7414 0
1 1 0.727 0
1 1 0.9658 0
1 1 0.7739 0
1 0 0.6942 0
1 0 0.4217 0
1 1 0.694 0
1 1 0.7818 0
1 1 0.6781 0
1 1 0.6833 0
1 1 0.8763 0
1 1 0.7479 0
1 1 0.7094 0
1 1 1.2055 0
1 1 0.8684 0
1 1 0.8918 0
1 1 0.5803 0
1 1 0.6363 0
