#subj_idx response rt stim
4 1 0.6294 0
4 1 0.9769 0
4 1 0.6948 0
4 1 0.7661 0
4 1 0.4334 0
4 1 0.9807 0
4 1 0.6233 0
4 1 0.6873 0
4 1 0.533 0
4 1 0.4049 0
4 0 0.8947 0
4 0 0.7268 0
4 1 0.5659 0
4 1 0.7481 0
4 1 0.6526 0
4 1 0.566 0
4 0 0.3963 0
4 1 0.4366 0
4 1 0.8381 0
4 1 0.7821 0
4 1 0.6279 0
4 0 0.8919 0
4 1 0.9483 0
4 1 0.7652 0
4 1 0.6376 0
4 1 0.6452 0
4 1 0.8369 0
4 1 0.4748 0
4 1 0.6752 0
4 0 0.5886 0
4 1 1.0195 0
4 1 0.5812 0
4 1 0.5639 0
4 1 0.5012 0
4 1 0.8288 0
4 0 0.8378 0
4 1 0.7407 0
4 1 0.7734 0
4 1 0.8383 0
4 1 0.7756 0
4 0 0.6211 0
4 1 0.6366 0
4 1 1.0049 0
4 1 0.9853 0
4 0 1.189 0
4 1 0.5985 0
4 0 0.9496 0
4 1 0.5893 0
4 0 0.6267 0
4 1 0.5804 0
4 0 0.691 0
4 0 0.9005 0
4 0 0.6747 0
4 1 0.6429 0
4 1 0.7131 0
4 0 0.9214 0
4 1 0.5536 0
4 0 0.5723 0
4 0 0.5304 0
4 0 0.5526 0
