#subj_idx response rt stim
1 1 0.408 1
1 1 0.6866 1
1 1 0.5034 1
1 1 0.6392 1
1 1 0.7341 1
1 1 0.9749 1
1 1 0.7013 1
1 1 0.8219 1
1 1 0.8133 1
1 0 1.1083 1
1 1 0.4997 1
1 1 0.7573 1
1 1 0.6354 1
1 0 1.3799 1
1 1 0.7406 1
1 1 0.6302 1
1 1 0.3793 1
1 1 0.6959 1
1 1 0.7753 1
1 1 0.9106 1
1 1 0.5906 1
1 1 0.9292 1
1 1 0.8382 1
1 1 0.6647 1
1 1 0.7006 1
1 1 0.9328 1
1 1 0.7921 1
1 1 0.7665 1
1 1 1.0363 1
1 1 0.8476 1
1 1 0.7353 1
1 1 0.668 1
1 1 1.006 1
1 1 0.74 1
1 0 0.8147 1
1 1 0.6854 1
1 0 0.6143 1
1 1 0.8556 1
1 0 0.7237 1
1 0 0.7492 1
1 1 0.8906 1
1 1 0.7563 1
1 0 0.8448 1
1 0 0.7504 1
1 1 0.6446 1
1 1 0.7649 1
1 1 0.6941 1
1 0 0.7179 1
1 1 0.6052 1
1 1 0.7805 1
1 1 0.6658 1
1 1 0.6094 1
1 1 0.5947 1
1 1 0.8597 1
