"subj_idx","rt","response","tgtPos","rwdType","colMatch"
0,0.822,1,0,2,2
0,0.716,1,0,2,2
0,0.667,1,0,0,0
0,0.733399999856949,1,0,0,0
0,0.941599999904633,1,0,0,0
0,0.932100000143051,1,0,1,2
0,0.800700000047684,1,0,1,2
0,1.35709999990463,1,0,1,2
0,1.40290000009537,1,0,1,2
0,1.11620000004768,1,0,1,2
0,1.07609999990463,1,0,1,2
0,1.00390000009537,1,0,1,2
0,0.947899999856949,1,0,2,2
0,0.660299999952316,1,0,0,0
0,0.963,1,0,2,2
0,0.747700000047684,1,0,0,0
0,1.73139999985695,0,0,0,0
0,1.13059999990463,1,0,0,0
0,1.50690000009537,1,0,2,2
0,0.940400000095367,1,0,0,0
0,0.921,1,0,2,2
0,1.3865,1,0,0,0
0,0.722099999904633,1,0,0,0
0,0.7785,1,0,0,0
0,0.851099999904633,1,0,0,0
0,0.769200000047684,1,0,2,2
0,0.762200000047684,1,0,0,0
0,1.353,1,0,1,2
0,0.688600000143051,1,0,1,2
0,0.738700000047684,1,0,2,2
0,0.859,1,0,1,2
0,0.658599999904633,1,0,1,2
0,0.842400000095367,1,0,2,2
0,0.650799999952316,1,0,2,2
0,0.859100000143051,1,0,0,0
0,1.21729999995232,1,0,2,2
0,1.08129999995232,0,0,1,2
0,1.00959999990463,1,0,0,0
0,0.817300000190735,1,0,0,0
0,0.849899999856949,1,0,0,0
0,0.9355,1,0,1,2
0,0.720799999952316,1,0,0,0
0,0.713200000047684,1,0,0,0
0,1.18609999990463,1,0,2,2
0,0.618099999904633,1,0,0,0
0,0.657599999904633,1,0,0,0
0,0.681700000047684,1,0,0,0
0,0.395799999952316,1,0,0,0
0,1.36159999990463,1,0,2,2
0,0.463700000047684,1,0,2,2
0,0.943199999809265,1,0,0,0
0,0.4345,1,0,0,0
0,0.673,1,0,0,0
0,0.889299999952316,1,0,2,2
0,0.8795,1,0,1,2
0,0.6065,1,0,1,2
0,1.22110000014305,1,0,0,0
0,0.894100000143051,1,0,0,0
0,0.840200000047684,1,0,2,2
0,0.864700000047684,1,0,0,0
0,0.888299999952316,1,0,0,0
0,0.992,1,0,0,0
0,0.977200000047684,1,0,1,2
0,0.7535,1,0,0,0
0,0.634900000095367,1,0,0,0
0,0.8,1,0,2,2
0,0.7285,1,0,0,0
0,0.617099999904633,1,0,2,2
0,0.670899999856949,1,0,0,0
0,0.622400000095367,1,0,0,0
0,1.27270000004768,0,0,1,2
0,0.502399999856949,1,0,1,2
1,0.6895,0,0,0,0
1,0.408,1,0,1,2
1,0.7925,1,0,0,0
1,0.50209999999404,1,0,0,0
1,0.623899999991059,1,0,0,0
1,0.62279999999702,1,0,0,0
1,0.686600000008941,1,0,1,2
1,0.422699999988079,1,0,0,0
1,0.64920000000298,1,0,2,2
1,0.584399999991059,0,0,0,0
1,0.564899999991059,1,0,2,2
1,0.67920000000298,1,0,2,2
1,0.735,1,0,0,0
1,0.6215,1,0,0,0
1,0.50340000000596,1,0,1,2
1,0.59970000000298,1,0,0,0
1,0.36870000000298,0,0,0,0
1,0.86309999999404,1,0,0,0
1,0.63920000000298,1,0,1,2
1,0.734100000008941,1,0,1,2
1,0.64709999999404,1,0,0,0
1,0.582399999991059,1,0,0,0
1,0.647,1,0,2,2
1,0.692099999994039,1,0,2,2
1,0.982399999991059,1,0,0,0
1,0.821300000011921,0,0,0,0
1,0.88629999999702,1,0,0,0
1,1.2785,0,0,0,0
1,0.51629999999702,1,0,0,0
1,0.89390000000596,1,0,0,0
1,0.83040000000596,0,0,0,0
1,0.439100000008941,1,0,0,0
1,0.97490000000596,1,0,1,2
1,0.407399999991059,1,0,2,2
1,0.70129999999702,1,0,1,2
1,0.65259999999404,1,0,0,0
1,0.82190000000596,1,0,1,2
1,0.81329999999702,1,0,1,2
1,0.59020000000298,1,0,2,2
1,0.997399999991059,1,0,0,0
1,0.43640000000596,1,0,0,0
1,1.10829999999702,0,0,1,2
1,0.998800000011921,1,0,0,0
1,0.49970000000298,1,0,1,2
1,0.80529999999702,1,0,2,2
1,0.757300000011921,1,0,1,2
1,0.63540000000596,1,0,1,2
1,0.710099999994039,0,0,0,0
1,1.37990000000596,0,0,1,2
1,0.814300000011921,1,0,0,0
1,0.477800000011921,1,0,0,0
1,0.74059999999404,1,0,1,2
1,0.52379999999702,1,0,0,0
1,0.53770000000298,1,0,2,2
1,0.73909999999404,0,0,0,0
1,0.442100000008941,1,0,2,2
1,0.42070000000298,1,0,2,2
1,0.90840000000596,0,0,2,2
1,1.08329999999702,0,0,0,0
1,0.910199999988079,0,0,2,2
1,0.63020000000298,1,0,1,2
1,0.669600000008941,1,0,2,2
1,0.38959999999404,1,0,2,2
1,0.81329999999702,1,0,0,0
1,0.66279999999702,1,0,0,0
1,0.48870000000298,1,0,2,2
1,0.739899999991059,1,0,0,0
1,0.77690000000596,1,0,2,2
1,0.501399999991059,1,0,0,0
1,0.37929999999702,1,0,1,2
1,0.69590000000596,1,0,1,2
1,0.76879999999702,1,0,2,2
2,2.22440000009537,1,0,2,2
2,0.8685,1,0,1,2
2,0.926,0,0,1,2
2,1.19859999990463,1,0,0,0
2,1.34890000009537,1,0,0,0
2,0.992800000190735,1,0,2,2
2,1.23340000009537,1,0,1,2
2,0.860400000095367,1,0,0,0
2,0.525099999904633,1,0,0,0
2,0.54210000038147,1,0,0,0
2,0.8195,0,0,0,0
2,0.694099999904633,1,0,1,2
2,0.939599999904633,1,0,2,2
2,1.07730000019073,1,0,1,2
2,1.82380000019073,1,0,2,2
2,1.17340000009537,1,0,0,0
2,0.893599999904633,1,0,1,2
2,1.0975,1,0,1,2
2,0.621699999809265,1,0,1,2
2,0.870200000286102,1,0,2,2
2,0.9565,1,0,0,0
2,0.95539999961853,1,0,1,2
2,1.0315,0,0,0,0
2,0.778900000095367,1,0,0,0
2,0.899800000190735,1,0,2,2
2,0.724900000095367,0,0,0,0
2,1.14030000019073,1,0,2,2
2,0.964,1,0,1,2
2,0.704700000286102,1,0,1,2
2,0.644900000095367,0,0,2,2
2,0.8585,0,0,2,2
