subj_idx,rwdType,rt,response,tgtPos,colMatch
0,2,0.822,1,0,2
0,2,1.2436,1,0,1
0,1,0.698,1,0,1
0,2,0.716,1,0,2
0,0,0.667,1,0,0
0,1,0.7951,1,1,1
0,1,0.7157,1,0,1
0,0,0.7334,1,0,0
0,0,0.9416,1,0,0
0,1,0.9321,1,0,2
0,0,0.6947,1,1,0
0,1,1.1558,1,0,1
0,1,0.8007,1,0,2
0,1,0.7392,1,1,1
0,1,0.9016,1,1,1
0,0,0.7963,1,1,0
0,1,0.7087,1,0,1
0,1,1.3571,1,0,2
0,1,1.4029,1,0,2
0,2,0.7547,1,0,1
0,1,1.0044,1,1,1
0,1,1.1084,1,1,1
0,2,0.8378,1,0,1
0,0,1.1248,1,1,0
0,2,1.1231,1,0,1
0,1,1.4668,1,0,1
0,1,0.7476,1,1,1
0,1,1.1162,1,0,2
0,1,1.0761,1,0,2
0,2,0.6979,1,1,1
0,1,1.0039,1,0,2
0,1,0.8439,1,1,1
0,2,0.7871,1,1,1
0,2,0.7859,1,0,1
0,2,1.0215,1,0,1
0,0,0.7397,1,1,0
0,1,1.0279,0,1,1
0,2,1.1465,1,1,1
0,1,0.9809,1,0,1
0,2,0.9231,1,1,1
0,2,0.9479,1,0,2
0,2,1.1709,1,1,1
0,2,0.8837,1,1,1
0,0,0.6603,1,0,0
0,2,1.1878,1,0,1
0,2,0.6575,1,1,1
0,2,1.1635,1,0,1
0,2,1.1397,1,0,1
0,0,0.9481,1,1,0
0,2,0.8523,1,0,1
0,2,1.7399,1,1,1
0,1,0.7612,0,1,1
0,2,0.963,1,0,2
0,2,1.4356,1,1,1
0,2,1.3883,1,1,1
0,1,1.2117,1,1,1
0,0,0.7477,1,0,0
0,1,1.653,0,1,1
0,2,1.0511,1,0,1
0,0,1.7314,0,0,0
0,2,0.8838,1,1,1
0,0,1.1306,1,0,0
0,2,1.5069,1,0,2
0,2,0.8511,0,1,1
0,0,1.389,1,1,0
0,1,0.9625,0,1,1
0,1,0.9799,1,0,1
0,1,0.9548,1,1,1
0,1,0.8439,1,1,1
0,2,1.0347,1,0,1
0,0,0.8029,1,1,0
0,2,0.5707,1,0,1
0,0,0.9404,1,0,0
0,2,0.921,1,0,2
0,0,1.3865,1,0,0
0,2,0.8502,1,1,1
0,2,1.5216,1,1,1
0,2,0.7471,1,1,1
0,1,0.8745,1,1,1
0,2,1.0104,1,0,1
0,0,0.7221,1,0,0
0,1,1.0008,1,0,1
0,2,1.0588,1,0,1
0,0,0.7785,1,0,0
0,1,0.6198,1,1,1
0,0,0.8511,1,0,0
0,1,1.106,1,0,1
0,2,0.7692,1,0,2
0,2,0.9066,1,1,1
0,1,1.0342,1,1,1
0,2,0.9463,1,0,1
0,0,0.7622,1,0,0
0,1,0.8084,1,1,1
0,1,1.353,1,0,2
0,1,0.6886,1,0,2
0,1,0.8589,1,0,1
0,1,0.8515,1,1,1
0,1,1.4169,1,0,1
0,0,0.651,1,1,0
0,2,0.6363,1,1,1
0,2,0.7387,1,0,2
0,1,1.148,1,0,1
0,1,0.7001,1,0,1
0,1,0.859,1,0,2
0,2,0.9887,1,0,1
0,1,0.9464,1,0,1
0,1,0.7003,1,1,1
0,2,0.7527,1,1,1
0,1,0.6586,1,0,2
0,1,0.7542,1,0,1
0,2,0.8424,1,0,2
0,2,0.6508,1,0,2
0,2,0.649,1,1,1
0,1,0.8038,1,1,1
0,0,0.8591,1,0,0
0,1,0.8338,1,0,1
0,2,0.5453,1,1,1
0,1,0.7462,1,0,1
0,2,1.2173,1,0,2
0,0,0.7705,1,1,0
0,2,0.5546,1,1,1
0,1,1.0813,0,0,2
0,0,1.0096,1,0,0
0,0,0.7863,1,1,0
0,2,0.7934,1,0,1
0,1,0.5428,1,1,1
0,0,0.8173,1,0,0
0,0,0.8499,1,0,0
0,2,0.7935,1,0,1
0,1,0.5699,1,0,1
0,0,0.5917,1,1,0
0,2,0.6481,1,0,1
0,1,0.6608,1,1,1
0,1,0.7042,1,0,1
0,1,0.9355,1,0,2
0,0,0.7208,1,0,0
0,2,0.7143,1,0,1
0,1,0.6427,1,1,1
0,1,0.5271,1,0,1
0,0,0.7132,1,0,0
0,0,0.5211,1,1,0
0,1,0.5777,1,0,1
0,2,0.6499,1,1,1
0,2,0.7284,1,1,1
0,2,1.1861,1,0,2
0,1,1.3615,0,0,1
0,1,0.6262,1,0,1
0,2,0.6264,1,1,1
0,0,0.6181,1,0,0
0,2,0.6584,1,1,1
0,0,0.6576,1,0,0
0,0,0.6817,1,0,0
0,0,0.3958,1,0,0
0,2,0.8743,1,0,1
0,2,1.3074,0,0,1
0,1,0.6142,1,0,1
0,2,1.3616,1,0,2
0,2,0.4637,1,0,2
0,0,0.9432,1,0,0
0,0,0.4345,1,0,0
0,0,0.673,1,0,0
0,2,0.8893,1,0,2
0,1,0.783,1,0,1
0,2,0.7756,1,0,1
0,1,0.9605,1,0,1
0,1,0.8158,1,1,1
0,1,0.7105,1,1,1
0,2,1.0653,1,1,1
0,1,0.7456,1,0,1
0,1,1.0244,1,1,1
0,2,0.6105,1,0,1
0,1,0.8795,1,0,2
0,2,0.6557,1,0,1
0,2,0.6821,1,0,1
0,1,0.7128,1,1,1
0,2,0.6792,1,0,1
0,1,0.5207,1,1,1
0,1,0.7286,0,0,1
0,1,0.6905,1,0,1
0,1,0.6065,1,0,2
0,2,0.7759,1,1,1
0,1,0.799,0,0,1
0,0,0.9783,0,1,0
0,0,1.2211,1,0,0
0,0,0.8941,1,0,0
0,0,0.7913,1,1,0
0,1,0.722,1,1,1
0,2,0.8402,1,0,2
0,2,0.6958,1,0,1
0,2,0.7696,1,0,1
0,2,1.2561,1,0,1
0,0,0.5794,1,1,0
0,1,0.7789,1,1,1
0,0,0.8647,1,0,0
0,2,0.6501,1,1,1
0,0,0.8883,1,0,0
0,0,0.6584,1,1,0
0,2,0.5368,1,1,1
0,0,0.992,1,0,0
0,1,0.7281,1,0,1
0,1,0.9772,1,0,2
0,2,0.8151,1,1,1
0,0,0.7277,1,1,0
0,0,0.7535,1,0,0
0,2,0.9932,1,1,1
0,1,0.6552,1,1,1
0,1,0.6652,1,0,1
0,2,0.7259,1,1,1
0,0,0.6349,1,0,0
0,0,0.8902,1,1,0
0,0,0.8082,1,1,0
0,1,0.7268,1,0,1
0,0,0.639,1,1,0
0,0,0.6725,1,1,0
0,1,0.7132,1,1,1
0,1,0.8474,1,0,1
0,1,1.1765,1,0,1
0,1,0.6886,1,1,1
0,2,0.8,1,0,2
0,0,0.5595,1,1,0
0,0,0.7285,1,0,0
0,0,0.6409,1,1,0
0,2,0.6136,1,0,1
0,2,0.6171,1,0,2
0,2,0.5019,1,0,1
0,2,0.5597,1,1,1
0,0,0.6709,1,0,0
0,2,0.6634,1,1,1
0,0,0.6224,1,0,0
0,2,1.5198,1,0,1
0,1,1.2727,0,0,2
0,0,0.7115,1,1,0
0,2,0.9586,1,0,1
0,2,0.7298,1,0,1
0,1,0.5024,1,0,2
0,1,0.8084,1,0,1
0,1,0.6162,1,1,1
0,1,0.634,1,1,1
0,2,0.7364,1,1,1
0,2,0.6098,1,1,1
1,1,0.6185,1,0,1
1,0,0.5989,1,1,0
1,0,0.6497,1,1,0
1,0,0.8056,1,1,0
1,2,0.6412,1,1,1
1,1,0.8102,0,0,1
1,0,0.6895,0,0,0
1,1,0.3846,1,0,1
1,2,0.9124,1,0,1
1,2,1.0314,0,0,1
1,1,0.408,1,0,2
1,2,0.863,1,0,1
1,0,0.7044,1,1,0
1,0,0.7925,1,0,0
1,0,0.5021,1,0,0
1,2,0.8706,1,0,1
1,0,0.6239,1,0,0
1,0,0.5268,1,1,0
1,2,0.7999,1,1,1
1,1,1.1251,0,0,1
1,0,0.6228,1,0,0
1,1,0.6866,1,0,2
1,0,0.7036,0,1,0
1,0,0.4227,1,0,0
1,2,0.6492,1,0,2
1,0,0.5844,0,0,0
1,2,0.9202,0,1,1
1,2,0.9973,0,0,1
1,1,0.7753,1,1,1
1,2,0.5649,1,0,2
1,2,0.6792,1,0,2
1,0,0.7414,1,1,0
1,1,0.9589,1,0,1
1,0,0.735,1,0,0
1,0,0.6215,1,0,0
1,2,0.6864,1,1,1
1,0,0.727,1,1,0
1,1,0.5034,1,0,2
1,0,0.5997,1,0,0
1,2,0.9911,1,0,1
1,2,0.9845,1,1,1
1,0,0.3687,0,0,0
1,0,0.8631,1,0,0
1,0,0.9658,1,1,0
1,2,0.4084,1,0,1
1,1,0.6392,1,0,2
1,1,0.9279,1,0,1
1,1,1.0079,1,0,1
1,1,0.6476,1,0,1
1,2,0.7747,1,1,1
1,2,1.1841,1,0,1
1,2,0.6649,1,1,1
1,1,0.9106,1,1,1
1,1,0.7341,1,0,2
1,1,0.5906,1,1,1
1,1,0.9597,0,0,1
1,1,0.6536,1,0,1
1,0,0.7739,1,1,0
1,1,0.9292,1,1,1
1,0,0.6942,0,1,0
1,2,1.0618,1,0,1
1,0,0.6471,1,0,0
1,1,0.7925,1,0,1
1,1,0.8382,1,1,1
1,1,0.6647,1,1,1
1,2,0.5422,1,0,1
1,0,0.5824,1,0,0
1,1,0.5423,1,0,1
1,2,0.6229,0,1,1
1,2,1.0167,0,0,1
1,1,0.6828,1,0,1
1,2,0.6939,1,0,1
1,2,0.9277,1,1,1
1,1,0.7006,1,1,1
1,1,0.6159,1,0,1
1,2,0.4633,1,0,1
1,2,0.647,1,0,2
1,1,0.9328,1,1,1
1,1,0.7921,1,1,1
1,2,0.7318,1,0,1
1,2,0.6867,1,0,1
1,0,0.4217,0,1,0
1,1,0.7665,1,1,1
1,1,1.0363,1,1,1
1,2,1.1484,1,1,1
1,2,0.6921,1,0,2
1,0,0.9824,1,0,0
1,1,0.8476,1,1,1
1,0,0.694,1,1,0
1,1,0.7353,1,1,1
1,2,0.6758,1,0,1
1,0,0.8213,0,0,0
1,0,0.8863,1,0,0
1,2,0.9576,1,0,1
1,2,1.0384,0,1,1
1,0,1.2785,0,0,0
1,0,0.5163,1,0,0
1,1,0.668,1,1,1
1,1,1.006,1,1,1
1,0,0.8939,1,0,0
1,0,0.8304,0,0,0
1,1,0.74,1,1,1
1,0,0.4391,1,0,0
1,1,0.9749,1,0,2
1,0,0.7818,1,1,0
1,1,0.5172,1,0,1
1,2,0.4074,1,0,2
1,1,0.7013,1,0,2
1,0,0.6781,1,1,0
1,0,0.6526,1,0,0
1,1,0.8147,0,1,1
1,1,0.4212,1,0,1
1,1,0.7812,1,0,1
1,1,0.8219,1,0,2
1,1,0.6143,1,0,1
1,2,0.7082,1,0,1
1,2,0.9436,0,0,1
1,1,1.1657,0,0,1
1,1,0.959,0,0,1
1,1,0.6854,1,1,1
1,2,0.764,1,1,1
1,2,0.605,1,1,1
1,1,0.8133,1,0,2
1,2,0.5902,1,0,2
1,2,0.8851,0,1,1
1,2,0.6394,1,1,1
1,0,0.9974,1,0,0
1,0,0.6833,1,1,0
1,0,0.4364,1,0,0
1,1,1.1083,0,0,2
1,1,0.7575,1,0,1
1,2,0.8766,1,1,1
1,1,0.7227,1,0,1
1,0,0.9988,1,0,0
1,1,0.6143,0,1,1
1,2,0.8138,1,1,1
1,2,0.3892,1,0,1
1,1,0.4997,1,0,2
1,1,0.8556,1,1,1
1,2,0.8053,1,0,2
1,2,0.9177,1,0,1
1,0,0.8763,1,1,0
1,1,0.7573,1,0,2
1,2,0.693,1,0,1
1,2,0.4355,1,0,1
1,1,0.6354,1,0,2
1,1,0.7237,0,1,1
1,0,0.7101,0,0,0
1,2,0.4921,1,0,1
1,1,0.7492,0,1,1
1,0,0.7479,1,1,0
1,1,1.3799,0,0,2
1,2,0.804,1,0,1
1,2,0.7813,1,1,1
1,2,0.932,1,1,1
1,2,0.7634,1,1,1
1,1,0.8906,1,1,1
1,0,0.7094,1,1,0
1,0,1.2055,1,1,0
1,2,0.661,1,1,1
1,2,0.7338,1,0,1
1,2,0.894,1,1,1
1,0,0.8143,1,0,0
1,1,0.7563,1,1,1
1,1,0.8463,1,0,1
1,1,0.8448,0,1,1
1,2,1.0559,0,0,1
1,2,0.9402,1,1,1
1,1,0.7504,0,1,1
1,0,0.4778,1,0,0
1,2,0.9644,1,1,1
1,0,0.8684,1,1,0
1,1,0.7406,1,0,2
1,1,0.6603,0,0,1
1,1,0.6446,1,1,1
1,1,0.7649,1,1,1
1,1,0.6941,1,1,1
1,2,0.8444,0,0,1
1,2,0.8113,1,1,1
1,1,0.868,1,0,1
1,1,0.7179,0,1,1
1,2,0.693,1,1,1
1,0,0.5238,1,0,0
1,1,0.8144,1,0,1
1,2,0.717,1,0,1
1,1,0.6052,1,1,1
1,2,0.7646,0,1,1
1,2,0.8522,0,1,1
1,2,0.8024,1,1,1
1,1,0.7805,1,1,1
1,2,1.0123,1,0,1
1,2,0.676,1,0,1
1,2,0.5377,1,0,2
1,1,0.8621,0,0,1
1,2,0.8999,1,1,1
1,0,0.7391,0,0,0
1,2,0.6614,0,0,1
1,2,1.1064,1,1,1
1,2,0.7628,1,0,1
1,1,0.6373,1,0,1
1,2,0.4421,1,0,2
1,2,0.5736,1,0,1
1,2,0.4207,1,0,2
1,2,0.9084,0,0,2
1,2,0.46,0,1,1
1,1,0.6683,0,0,1
1,2,0.8381,1,1,1
1,2,1.002,1,1,1
1,0,0.8918,1,1,0
1,1,0.7698,1,0,1
1,0,1.0833,0,0,0
1,1,0.7722,1,0,1
1,1,0.6658,1,1,1
1,1,0.6847,0,0,1
1,1,0.6094,1,1,1
1,2,0.7254,1,1,1
1,2,0.5237,1,0,1
1,2,0.9102,0,0,2
1,1,0.6302,1,0,2
1,0,0.5803,1,1,0
1,2,0.6696,1,0,2
1,2,0.3896,1,0,2
1,2,0.8542,0,1,1
1,1,0.8653,0,0,1
1,0,0.8133,1,0,0
1,1,0.5947,1,1,1
1,0,0.6628,1,0,0
1,1,0.9086,1,0,1
1,0,0.6363,1,1,0
1,2,0.4887,1,0,2
1,0,0.7399,1,0,0
1,1,1.1731,0,0,1
1,2,0.773,1,0,1
1,1,0.6851,1,0,1
1,2,0.7769,1,0,2
1,0,0.5014,1,0,0
1,1,0.3793,1,0,2
1,1,0.8597,1,1,1
1,1,0.6959,1,0,2
1,2,0.7688,1,0,2
2,1,1.88,1,0,1
2,1,0.8788,1,1,1
2,1,1.4761,0,1,1
2,2,2.2244,1,0,2
2,1,1.4878,0,1,1
2,1,0.8685,1,0,2
2,2,1.0532,1,0,1
2,1,0.926,0,0,2
2,0,1.1986,1,0,0
2,1,1.2142,1,1,1
2,1,0.9012,0,0,1
2,1,0.8058,1,1,1
2,1,1.2074,0,0,1
2,1,0.7807,1,1,1
2,2,0.6949,0,0,1
2,0,1.3489,1,0,0
2,2,1.3591,1,0,1
2,2,0.9928,1,0,2
2,2,0.6936,1,1,1
2,1,1.2334,1,0,2
2,1,1.0731,1,1,1
2,2,0.8293,1,0,1
2,2,0.7743,1,1,1
2,0,0.8604,1,0,0
2,2,0.6953,0,1,1
2,0,0.5251,1,0,0
2,1,0.4942,1,0,1
2,1,0.6718,0,0,1
2,0,0.5421,1,0,0
2,1,0.5659,1,1,1
2,1,0.6682,0,0,1
2,0,0.8195,0,0,0
2,1,0.7805,0,0,1
2,2,0.6298,0,0,1
2,1,0.6941,1,0,2
2,1,0.6444,0,1,1
2,0,0.7883,1,1,0
2,2,1.2135,1,0,1
2,1,0.8539,1,0,1
2,1,0.7177,1,1,1
2,2,0.5871,1,1,1
2,1,0.614,0,1,1
2,2,0.6618,1,1,1
2,2,1.4982,0,1,1
2,2,0.998,1,0,1
2,2,0.9396,1,0,2
2,1,0.9875,1,0,1
2,2,0.8158,1,0,1
2,2,0.98,0,0,1
2,2,1.0977,1,1,1
2,1,1.0773,1,0,2
2,2,1.8238,1,0,2
2,0,1.1734,1,0,0
2,1,0.8936,1,0,2
2,1,1.0975,1,0,2
2,1,0.7168,1,0,1
2,1,0.6217,1,0,2
2,2,0.8702,1,0,2
2,1,0.5747,1,1,1
2,0,0.9565,1,0,0
2,2,0.7503,0,1,1
2,1,0.9554,1,0,2
2,1,0.8222,0,1,1
2,1,2.0788,0,0,1
2,0,1.0315,0,0,0
2,0,0.7789,1,0,0
2,2,1.2774,0,1,1
2,1,1.2932,1,1,1
2,2,0.8998,1,0,2
2,2,0.743,1,1,1
2,1,0.8304,1,1,1
2,1,1.0224,1,0,1
2,0,0.7801,1,1,0
2,2,0.8696,1,0,1
2,0,0.7249,0,0,0
2,2,1.4104,1,1,1
2,2,0.9324,1,1,1
2,1,1.4319,1,0,1
2,1,0.7232,1,0,1
2,2,1.1403,1,0,2
2,1,0.964,1,0,2
2,1,0.7047,1,0,2
2,2,0.7007,0,1,1
2,2,1.0834,1,0,1
2,2,0.6429,1,0,1
2,2,0.6449,0,0,2
2,0,0.9165,1,1,0
2,2,0.8585,0,0,2
2,1,0.8403,1,0,1
2,2,0.8384,1,0,2
2,0,0.6526,1,0,0
2,1,1.4914,0,1,1
2,1,1.0448,0,1,1
2,0,0.7326,0,1,0
2,2,0.6585,1,0,1
2,2,0.5281,1,0,1
2,1,0.5007,1,0,2
2,1,0.845,1,0,1
2,2,0.7318,1,1,1
2,0,0.6194,1,0,0
2,0,1.1003,0,1,0
2,1,0.7966,0,0,1
2,1,0.9718,1,0,2
2,0,0.8014,1,1,0
2,0,0.8045,1,1,0
2,0,1.9155,1,1,0
2,0,0.7062,1,1,0
2,2,1.4468,0,1,1
2,2,1.1549,1,0,2
2,2,1.2105,1,0,1
2,2,0.7237,1,1,1
2,1,0.8036,1,1,1
2,2,0.9891,1,0,2
2,1,0.7077,1,0,2
2,2,0.7975,1,0,1
2,2,0.5651,1,0,1
2,1,0.6828,1,0,1
2,1,0.7893,0,1,1
2,1,0.6762,1,1,1
2,0,0.6758,1,1,0
2,2,0.9412,1,0,2
2,0,0.7395,1,0,0
2,2,0.4756,1,0,1
2,1,0.4405,1,0,2
2,2,0.8383,0,1,1
2,0,0.6438,1,1,0
2,2,1.2278,1,0,2
2,0,0.5953,1,0,0
2,0,0.7015,1,1,0
2,2,0.6282,1,0,1
2,2,0.6838,1,0,1
2,2,0.6576,0,1,1
2,0,0.5983,1,1,0
2,1,0.6636,1,0,1
2,1,1.1377,1,1,1
2,1,0.9497,1,0,1
2,1,1.0174,1,1,1
2,1,0.9245,1,1,1
2,0,0.9889,0,0,0
2,0,1.0163,1,0,0
2,1,1.5315,0,1,1
2,1,0.7158,1,1,1
2,1,0.6699,1,1,1
2,2,2.0665,1,0,1
2,2,1.9541,0,1,1
2,0,0.9199,1,0,0
2,2,1.4675,0,1,1
2,0,0.8258,0,0,0
2,1,1.0528,0,1,1
2,0,0.9111,0,0,0
2,2,0.6977,1,0,1
2,2,0.4184,1,0,1
2,0,0.7627,0,1,0
2,0,1.2576,1,0,0
2,2,0.6193,1,0,1
2,1,0.698,1,1,1
2,2,1.0105,0,0,2
2,2,0.7084,1,0,1
2,0,0.8033,0,0,0
2,2,0.6912,1,1,1
2,0,0.771,1,0,0
2,2,0.7291,1,1,1
2,2,0.89,1,0,1
2,2,0.8177,1,1,1
2,1,0.618,1,0,1
2,0,0.4469,1,0,0
2,2,0.516,1,0,1
2,1,0.6032,0,1,1
2,2,0.5951,0,1,1
2,1,0.6206,1,0,1
2,0,0.5386,1,0,0
2,2,0.6244,1,1,1
2,2,0.6922,1,1,1
2,0,0.5479,1,0,0
2,1,0.7162,0,0,2
2,2,0.6419,0,0,1
2,0,0.5246,1,0,0
2,0,0.7909,1,1,0
2,2,1.4153,0,1,1
2,1,0.6368,1,0,1
2,1,1.1012,1,0,1
2,0,1.0925,0,1,0
2,2,0.7372,0,0,1
2,0,0.9246,0,1,0
2,0,0.6761,1,1,0
2,2,0.6347,0,1,1
2,2,0.5626,1,0,2
2,2,0.8059,0,0,1
2,1,0.5873,1,1,1
2,1,0.7948,0,0,1
2,1,0.7026,0,0,1
2,1,0.5332,1,0,1
2,2,0.6508,1,1,1
2,2,0.6663,1,1,1
2,0,0.6868,1,0,0
2,0,0.5638,1,1,0
2,1,0.7677,1,0,1
2,1,0.6819,1,0,1
2,0,0.5936,0,1,0
2,0,0.6024,1,0,0
2,2,0.6822,1,1,1
2,0,0.5216,1,1,0
2,2,0.729,1,1,1
2,0,0.7853,1,1,0
2,0,0.6989,1,1,0
2,1,0.9228,1,0,1
2,1,0.8101,1,0,2
2,0,0.6125,1,0,0
2,1,0.6258,1,0,1
2,1,1.0006,1,0,1
2,2,0.7471,1,0,2
2,2,0.5301,1,1,1
2,1,0.8513,1,0,1
2,2,0.8473,1,0,1
2,0,0.4735,1,0,0
2,2,0.4887,1,0,1
2,1,0.6671,1,1,1
