"subj_idx","rt","response","tgtPos","rwdType","colMatch"
0,0.822,1,0,2,2
0,0.716,1,0,2,2
0,0.932100000143051,1,0,1,2
0,0.800700000047684,1,0,1,2
0,1.35709999990463,1,0,1,2
0,1.40290000009537,1,0,1,2
0,1.11620000004768,1,0,1,2
0,1.07609999990463,1,0,1,2
0,1.00390000009537,1,0,1,2
0,0.947899999856949,1,0,2,2
0,0.963,1,0,2,2
0,1.50690000009537,1,0,2,2
0,0.921,1,0,2,2
0,0.769200000047684,1,0,2,2
0,1.353,1,0,1,2
0,0.688600000143051,1,0,1,2
0,0.738700000047684,1,0,2,2
0,0.859,1,0,1,2
0,0.658599999904633,1,0,1,2
0,0.842400000095367,1,0,2,2
0,0.650799999952316,1,0,2,2
0,1.21729999995232,1,0,2,2
0,1.08129999995232,0,0,1,2
0,0.9355,1,0,1,2
0,1.18609999990463,1,0,2,2
0,1.36159999990463,1,0,2,2
0,0.463700000047684,1,0,2,2
0,0.889299999952316,1,0,2,2
0,0.8795,1,0,1,2
0,0.6065,1,0,1,2
0,0.840200000047684,1,0,2,2
0,0.977200000047684,1,0,1,2
0,0.8,1,0,2,2
0,0.617099999904633,1,0,2,2
0,1.27270000004768,0,0,1,2
0,0.502399999856949,1,0,1,2
1,0.408,1,0,1,2
1,0.686600000008941,1,0,1,2
1,0.64920000000298,1,0,2,2
1,0.564899999991059,1,0,2,2
1,0.67920000000298,1,0,2,2
1,0.50340000000596,1,0,1,2
1,0.63920000000298,1,0,1,2
1,0.734100000008941,1,0,1,2
1,0.647,1,0,2,2
1,0.692099999994039,1,0,2,2
1,0.97490000000596,1,0,1,2
1,0.407399999991059,1,0,2,2
1,0.70129999999702,1,0,1,2
1,0.82190000000596,1,0,1,2
1,0.81329999999702,1,0,1,2
1,0.59020000000298,1,0,2,2
1,1.10829999999702,0,0,1,2
1,0.49970000000298,1,0,1,2
1,0.80529999999702,1,0,2,2
1,0.757300000011921,1,0,1,2
1,0.63540000000596,1,0,1,2
1,1.37990000000596,0,0,1,2
1,0.74059999999404,1,0,1,2
1,0.53770000000298,1,0,2,2
1,0.442100000008941,1,0,2,2
1,0.42070000000298,1,0,2,2
1,0.90840000000596,0,0,2,2
1,0.910199999988079,0,0,2,2
1,0.63020000000298,1,0,1,2
1,0.669600000008941,1,0,2,2
1,0.38959999999404,1,0,2,2
1,0.48870000000298,1,0,2,2
1,0.77690000000596,1,0,2,2
1,0.37929999999702,1,0,1,2
1,0.69590000000596,1,0,1,2
1,0.76879999999702,1,0,2,2
2,2.22440000009537,1,0,2,2
2,0.8685,1,0,1,2
2,0.926,0,0,1,2
2,0.992800000190735,1,0,2,2
2,1.23340000009537,1,0,1,2
2,0.694099999904633,1,0,1,2
2,0.939599999904633,1,0,2,2
2,1.07730000019073,1,0,1,2
2,1.82380000019073,1,0,2,2
2,0.893599999904633,1,0,1,2
2,1.0975,1,0,1,2
2,0.621699999809265,1,0,1,2
2,0.870200000286102,1,0,2,2
2,0.95539999961853,1,0,1,2
2,0.899800000190735,1,0,2,2
2,1.14030000019073,1,0,2,2
2,0.964,1,0,1,2
2,0.704700000286102,1,0,1,2
2,0.644900000095367,0,0,2,2
2,0.8585,0,0,2,2
2,0.838400000095367,1,0,2,2
2,0.500699999809265,1,0,1,2
2,0.971800000190735,1,0,1,2
2,1.15490000009537,1,0,2,2
2,0.98910000038147,1,0,2,2
2,0.707699999809265,1,0,1,2
2,0.941200000286102,1,0,2,2
2,0.4405,1,0,1,2
2,1.22780000019073,1,0,2,2
2,1.0105,0,0,2,2
2,0.716200000286102,0,0,1,2
2,0.562599999904633,1,0,2,2
2,0.810099999904633,1,0,1,2
2,0.747099999904633,1,0,2,2
2,0.699099999904633,1,0,1,2
2,0.569900000095367,0,0,2,2
3,0.890799999952316,1,0,2,2
3,0.768700000047684,1,0,2,2
3,1.32370000004768,1,0,1,2
3,0.679899999856949,1,0,2,2
3,1.38590000009537,1,0,1,2
3,0.757700000047684,1,0,2,2
3,1.552,1,0,1,2
3,1.001,0,0,1,2
3,0.7045,1,0,1,2
3,1.58420000004768,1,0,2,2
3,0.968799999952316,1,0,2,2
3,0.777199999809265,1,0,1,2
3,0.791399999856949,1,0,1,2
3,1.00090000009537,1,0,1,2
3,0.5375,1,0,1,2
3,0.814200000047684,1,0,2,2
3,0.880799999952316,1,0,2,2
3,0.848100000143051,1,0,2,2
3,0.864899999856949,1,0,1,2
3,1.07770000004768,1,0,1,2
3,0.966699999809265,1,0,2,2
3,1.15229999995232,1,0,1,2
3,0.825400000095367,1,0,2,2
3,1.191,1,0,1,2
3,1.17429999995232,0,0,2,2
3,0.825199999809265,1,0,1,2
3,1.13379999995232,1,0,1,2
3,0.921900000095367,0,0,1,2
3,0.791100000143051,1,0,2,2
3,1.15879999995232,1,0,2,2
3,1.20609999990463,1,0,2,2
3,0.679799999952316,1,0,2,2
3,0.908900000095367,1,0,1,2
3,1.07190000009537,0,0,2,2
3,0.878799999952316,1,0,2,2
3,0.880400000095367,1,0,1,2
4,0.95579999999702,0,0,1,2
4,0.60529999999702,1,0,2,2
4,0.767399999991059,1,0,2,2
4,0.647399999991059,0,0,1,2
4,1.18520000000298,0,0,1,2
4,0.43859999999404,1,0,2,2
4,1.45529999999702,1,0,1,2
4,1.21409999999404,1,0,1,2
4,0.60790000000596,1,0,2,2
4,0.965600000008941,0,0,1,2
4,0.6985,0,0,1,2
4,0.63979999999702,0,0,2,2
4,0.5405,1,0,2,2
4,0.733100000008941,0,0,1,2
4,0.76270000000298,1,0,1,2
4,0.87709999999404,0,0,2,2
4,0.7655,0,0,2,2
4,0.59,1,0,1,2
4,1.06889999999106,0,0,2,2
4,0.66129999999702,1,0,1,2
4,0.76540000000596,1,0,2,2
4,0.57279999999702,1,0,1,2
4,0.6745,1,0,2,2
4,0.715199999988079,1,0,2,2
4,0.491899999991059,1,0,2,2
4,0.67720000000298,1,0,1,2
4,1.01959999999404,0,0,2,2
4,0.540100000008941,1,0,2,2
4,0.56309999999404,1,0,1,2
4,0.640599999994039,0,0,1,2
