"subj_idx","rt","response","rwdType","tgtPos","colPos","colMatch"
2,0.796,1,0,2,0,0
2,0.749,1,0,1,0,0
2,0.926,1,1,2,2,2
2,0.481,1,0,3,0,0
2,0.826,1,0,2,0,0
2,0.657,1,0,1,0,0
2,0.622,1,0,2,0,0
2,0.577,1,0,1,0,0
2,0.84,0,0,1,0,0
2,1.027,1,1,2,2,2
2,0.524,1,1,3,3,2
2,0.67,1,1,3,3,2
2,0.507,1,1,3,3,2
2,0.554,1,0,2,0,0
2,0.468,1,0,3,0,0
3,1.776,1,0,2,0,0
3,1.318,1,1,1,1,2
3,1.344,1,1,3,3,2
3,0.783,1,1,3,3,2
3,1.01,1,1,1,1,2
3,1.388,1,1,1,1,2
3,0.88,1,0,1,0,0
3,0.753,0,1,3,3,2
3,2.063,0,1,2,2,2
3,2.192,1,0,3,0,0
3,1.681,1,0,2,0,0
3,1.495,0,0,2,0,0
3,1.633,0,0,3,0,0
3,0.509,0,0,2,0,0
3,1.303,0,0,2,0,0
3,0.935,1,1,3,3,2
3,1.035,1,0,3,0,0
3,0.843,0,0,1,0,0
3,1.3,1,1,2,2,2
3,1.041,0,0,2,0,0
3,0.823,0,1,1,1,2
3,1.019,1,0,1,0,0
3,1.163,1,0,2,0,0
3,1.402,0,1,2,2,2
3,1.49,1,1,2,2,2
3,1.386,0,1,2,2,2
3,1.388,1,0,2,0,0
3,1.148,1,0,1,0,0
3,1.093,1,1,3,3,2
3,1.177,1,0,3,0,0
3,1.057,1,1,3,3,2
3,2.01,0,0,2,0,0
3,1.238,1,0,3,0,0
3,1.302,1,1,1,1,2
3,1.456,1,0,3,0,0
3,1.092,1,0,3,0,0
3,1.405,1,0,3,0,0
3,1.367,1,1,3,3,2
3,2.49,1,1,3,3,2
3,1.418,1,0,1,0,0
3,1.178,1,1,1,1,2
3,1.29,1,1,2,2,2
3,1.285,1,1,2,2,2
3,1.154,1,0,1,0,0
3,1.244,1,0,1,0,0
3,1.328,1,1,3,3,2
3,1.134,0,0,1,0,0
3,1.17,1,1,1,1,2
3,1.117,1,1,1,1,2
3,1.015,1,0,2,0,0
3,1.233,1,1,2,2,2
3,1.241,1,0,3,0,0
3,1.134,1,1,3,3,2
3,1.403,1,1,1,1,2
3,1.048,1,1,2,2,2
3,1.282,1,1,2,2,2
3,1.122,1,0,1,0,0
4,1.448,1,0,1,0,0
4,1.032,0,1,2,2,2
4,0.595,1,1,1,1,2
4,1.019,1,0,1,0,0
4,0.432,1,1,1,1,2
4,0.675,1,0,1,0,0
4,0.59,1,0,2,0,0
4,0.602,0,0,1,0,0
4,0.553,1,1,1,1,2
4,0.712,1,1,1,1,2
4,0.46,1,1,3,3,2
4,0.645,1,0,2,0,0
4,0.485,1,0,1,0,0
4,0.575,1,1,1,1,2
4,0.771,0,0,3,0,0
4,0.592,0,1,3,3,2
4,0.779,1,1,2,2,2
4,0.731,1,1,3,3,2
4,0.54,1,1,3,3,2
4,0.784,1,0,3,0,0
4,0.711,1,1,1,1,2
4,0.533,1,1,2,2,2
4,1.463,1,1,1,1,2
4,0.755,1,0,3,0,0
4,0.899,1,1,3,3,2
4,0.633,0,1,2,2,2
4,1.083,1,1,2,2,2
4,0.776,1,0,2,0,0
4,0.697,1,0,2,0,0
4,0.414,1,0,3,0,0
4,0.663,1,0,1,0,0
4,0.915,0,1,2,2,2
4,0.674,0,0,1,0,0
4,0.903,1,0,2,0,0
4,1.005,0,0,1,0,0
4,0.778,1,0,3,0,0
4,0.856,1,1,2,2,2
4,0.696,0,1,2,2,2
4,0.705,1,0,2,0,0
4,0.433,1,0,3,0,0
4,0.763,1,0,2,0,0
4,0.549,1,0,3,0,0
4,0.615,1,0,3,0,0
4,0.65,1,0,3,0,0
4,0.728,1,0,1,0,0
4,0.487,1,1,1,1,2
4,0.566,1,1,1,1,2
4,0.697,1,0,1,0,0
4,0.817,1,1,3,3,2
4,0.722,1,1,2,2,2
4,0.775,1,1,3,3,2
4,0.455,1,1,3,3,2
4,0.721,1,0,2,0,0
4,0.825,0,0,2,0,0
4,0.805,1,1,1,1,2
4,0.837,1,0,2,0,0
4,0.777,0,1,2,2,2
5,0.683065,1,0,2,0,0
5,1.27719,1,1,3,3,2
5,0.7769500001,1,0,2,0,0
5,0.676215,1,0,2,0,0
5,0.544,0,1,2,2,2
5,0.7300249999,1,1,2,2,2
5,0.4428300001,1,0,2,0,0
5,0.531375,1,0,3,0,0
5,0.4331399999,1,1,1,1,2
5,0.41246,1,1,3,3,2
5,0.39549,1,0,3,0,0
5,0.616345,1,0,3,0,0
5,0.4496500001,1,0,3,0,0
5,0.5929050001,1,0,1,0,0
5,0.5224650002,1,0,1,0,0
5,0.47251,1,0,3,0,0
5,0.5774650001,1,1,1,1,2
5,1.276525,1,1,3,3,2
5,1.0116,1,1,2,2,2
5,0.5709599999,1,0,1,0,0
5,0.6213250002,1,0,1,0,0
5,0.621575,1,0,1,0,0
5,0.6554,1,0,1,0,0
5,0.667905,1,0,2,0,0
5,0.6340600001,1,1,3,3,2
5,0.6816450001,1,1,2,2,2
5,0.6100300001,1,0,2,0,0
5,0.53819,0,1,1,1,2
5,0.450465,1,0,3,0,0
5,0.6529699999,1,0,1,0,0
5,0.5390250001,1,1,3,3,2
5,0.5798499999,1,1,3,3,2
5,0.6152900001,1,1,1,1,2
5,0.5437400001,1,0,3,0,0
5,0.4055950001,1,1,3,3,2
5,0.6312249999,1,0,1,0,0
5,0.40885,1,1,3,3,2
5,0.399305,1,0,3,0,0
5,0.56449,1,1,1,1,2
5,0.5062149998,1,0,1,0,0
5,0.6769599998,0,1,2,2,2
5,0.5978399999,0,0,2,0,0
5,0.893375,1,1,2,2,2
5,0.7790099999,1,1,3,3,2
5,0.6439349998,0,0,2,0,0
