SubNum,SubNum_demo,Exp_start_time,Exp_today_date,Exp_today_time,TrialNum,FaceID,FaceImg,Name,Response,NameAcc,RespTime,StudyTrialNum,StudyFaceID,StudyFaceImg,StudyFamCond,StudyTime,TestTrialNum,TestFaceID,TestFaceImg,TestFamCond,TestStatusCond,TestResponse,TestResponseTime,Exp_end_time,Distractor_1_duration,Distractor_1_numQ,Distractor_1_acc,Distractor_2_duration,Distractor_2_numT,Distractor_2_acc,
4wfbymms0g,td0sdwkv0y,Tue Dec 29 2020 16:02:42 GMT-0800 (Pacific Standard Time),2020-12-29,16:2:42,1,8,6,SARAH,SARAH,true,5065,1,7,5,0,4000,1,8,3,1,1,3,4938,16:18:8,57780,9,89,60958,1,100,
4wfbymms0g,undefined,undefined,undefined,undefined,2,2,6,OLIVER,O9LIVER,false,2015,2,6,5,1,4000,2,6,3,1,0,5,2505,undefined,60958,undefined,undefined,undefined,undefined,undefined,
4wfbymms0g,undefined,undefined,undefined,undefined,3,6,6,JESSICA,JESSICA,true,16488,3,2,5,1,4000,3,1,3,0,1,0,2585,undefined,210868,undefined,undefined,undefined,undefined,undefined,
4wfbymms0g,undefined,undefined,undefined,undefined,4,4,6,GABRIEL,GABRIEL,true,2629,4,3,5,0,4000,4,7,3,0,0,0,2115,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4wfbymms0g,undefined,undefined,undefined,undefined,5,8,8,SARAH,EMILY,false,4753,undefined,undefined,undefined,undefined,undefined,5,4,3,1,1,4,3855,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4wfbymms0g,undefined,undefined,undefined,undefined,6,2,8,OLIVER,OLIVER,true,2404,undefined,undefined,undefined,undefined,undefined,6,5,3,0,1,0,2732,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4wfbymms0g,undefined,undefined,undefined,undefined,7,6,8,JESSICA,JESSICA,true,2750,undefined,undefined,undefined,undefined,undefined,7,3,3,0,0,4,7666,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4wfbymms0g,undefined,undefined,undefined,undefined,8,4,8,GABRIEL,HUMP,false,3890,undefined,undefined,undefined,undefined,undefined,8,2,3,1,0,1,2643,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4wfbymms0g,undefined,undefined,undefined,undefined,9,6,4,JESSICA,JESSICA,true,2660,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4wfbymms0g,undefined,undefined,undefined,undefined,10,8,4,SARAH,SARAH,true,10023,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4wfbymms0g,undefined,undefined,undefined,undefined,11,2,4,OLIVER,OLIVER,true,2649,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4wfbymms0g,undefined,undefined,undefined,undefined,12,4,4,GABRIEL,JIM,false,42309,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4wfbymms0g,undefined,undefined,undefined,undefined,13,6,1,JESSICA,JESSICA,true,2839,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4wfbymms0g,undefined,undefined,undefined,undefined,14,4,1,GABRIEL,OLIVER,false,2393,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4wfbymms0g,undefined,undefined,undefined,undefined,15,8,1,SARAH,SARAH,true,6150,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4wfbymms0g,undefined,undefined,undefined,undefined,16,2,1,OLIVER,OLIVER,true,2097,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
