#subj_idx response rt stim
5 1 0.6574 1
5 1 0.67 1
5 1 0.4699 1
5 1 0.6403 1
5 1 0.6237 1
5 1 1.9517 1
5 1 0.7274 1
5 1 0.7659 1
5 1 0.8644 1
5 1 0.6108 1
5 1 0.8126 1
5 1 0.7634 1
5 1 0.6653 1
5 1 0.738 1
5 1 0.3549 1
5 1 1.178 1
5 1 0.6809 1
5 1 1.7721 1
5 1 0.8575 1
5 1 0.5359 1
5 0 0.3826 1
5 1 1.5193 1
5 0 0.4185 1
5 1 0.7531 1
5 1 2.1121 1
5 1 0.6941 1
5 1 0.6047 1
5 1 0.6853 1
5 1 0.7565 1
5 0 0.8138 1
5 1 0.5123 1
5 1 0.972 1
5 1 0.6641 1
5 1 0.742 1
5 1 0.6115 1
5 1 0.6623 1
5 1 0.2988 1
5 0 0.8323 1
