#subj_idx response rt stim
3 1 0.8908 2
3 1 0.7687 2
3 1 0.6798999999 2
3 1 0.7577 2
3 1 1.5842 2
3 1 0.9688 2
3 1 0.8142 2
3 1 0.8808 2
3 1 0.8481000001 2
3 1 0.9666999998 2
3 1 0.8254000001 2
3 0 1.1743 2
3 1 0.7911000001 2
3 1 1.1588 2
3 1 1.2061 2
3 1 0.6798 2
3 0 1.0719 2
3 1 0.8788 2
3 1 0.7952 2
3 1 0.7150999999 2
3 1 0.9591999998 2
3 1 1.0657 2
3 1 0.9297 2
3 1 0.7451999998 2
3 0 1.0982 2
3 1 0.8897 2
3 1 1.1952 2
3 0 1.225 2
3 1 0.6970999999 2
3 1 0.9775 2
3 1 1.8246 2
3 1 0.729 2
3 0 0.8965 2
3 0 0.9523999999 2
3 0 0.8804000001 2
3 0 0.9285 2
3 0 1.2228 2
3 1 1.1516 2
3 1 1.096 2
3 1 0.8969000001 2
3 1 0.8812 2
3 1 0.7855 2
3 1 0.7125 2
3 1 0.8072 2
3 1 1.1032 2
3 0 0.969 2
3 1 1.179 2
3 1 1.0127 2
3 1 1.0686 2
3 1 0.9108 2
3 1 0.6800999999 2
3 1 0.6707 2
3 1 0.7355 2
3 1 0.6610999999 2
