#subj_idx response rt stim
1 1 0.6492 2
1 1 0.5649 2
1 1 0.6792 2
1 1 0.647 2
1 1 0.6921 2
1 1 0.4074 2
1 1 0.5902 2
1 1 0.8053 2
1 1 0.5377 2
1 1 0.4421 2
1 1 0.4207 2
1 0 0.9084 2
1 0 0.9102 2
1 1 0.6696 2
1 1 0.3896 2
1 1 0.4887 2
1 1 0.7769 2
1 1 0.7688 2
1 1 0.6412 2
1 1 0.7999 2
1 0 0.9202 2
1 1 0.6864 2
1 1 0.9845 2
1 1 0.7747 2
1 1 0.6649 2
1 0 0.6229 2
1 1 0.9277 2
1 1 1.1484 2
1 0 1.0384 2
1 1 0.764 2
1 1 0.605 2
1 0 0.8851 2
1 1 0.6394 2
1 1 0.8766 2
1 1 0.8138 2
1 1 0.7813 2
1 1 0.932 2
1 1 0.7634 2
1 1 0.661 2
1 1 0.894 2
1 1 0.9402 2
1 1 0.9644 2
1 1 0.8113 2
1 1 0.693 2
1 0 0.7646 2
1 0 0.8522 2
1 1 0.8024 2
1 1 0.8999 2
1 1 1.1064 2
1 0 0.46 2
1 1 0.8381 2
1 1 1.002 2
1 1 0.7254 2
1 0 0.8542 2
