#subj_idx response rt stim
2 1 2.2244 2
2 1 0.9928000002 2
2 1 0.9395999999 2
2 1 1.8238 2
2 1 0.8702000003 2
2 1 0.8998000002 2
2 1 1.1403 2
2 0 0.6449000001 2
2 0 0.8585 2
2 1 0.8384000001 2
2 1 1.1549 2
2 1 0.9891000004 2
2 1 0.9412000003 2
2 1 1.2278 2
2 0 1.0105 2
2 1 0.5625999999 2
2 1 0.7470999999 2
2 0 0.5699000001 2
2 1 0.6935999999 2
2 1 0.7743000002 2
2 0 0.6953000002 2
2 1 0.5870999999 2
2 1 0.6618000002 2
2 0 1.4982 2
2 1 1.0977 2
2 0 0.7502999997 2
2 0 1.2774 2
2 1 0.743 2
2 1 1.4104 2
2 1 0.9324000001 2
2 0 0.7007000003 2
2 1 0.7317999997 2
2 0 1.4468 2
2 1 0.7237000003 2
2 0 0.8383000002 2
2 0 0.6575999999 2
2 0 1.9541 2
2 0 1.4675 2
2 1 0.6911999998 2
2 1 0.7290999999 2
2 1 0.8177000003 2
2 0 0.5950999999 2
2 1 0.6243999996 2
2 1 0.6922000003 2
2 0 1.4153 2
2 0 0.6346999998 2
2 1 0.6508000002 2
2 1 0.6663000002 2
2 1 0.6822000003 2
2 1 0.729 2
2 1 0.5300999999 2
2 0 0.6090999999 2
2 1 0.7946999998 2
2 1 1.3459 2
