#subj_idx response rt stim
5 1 0.7344 2
5 1 1.0256 2
5 1 0.3293 2
5 1 0.4246 2
5 0 0.6133 2
5 0 0.4972 2
5 1 0.8889 2
5 1 0.9127 2
5 0 0.5903 2
5 0 0.6058 2
5 0 1.6741 2
5 0 2.4536 2
5 1 0.9702 2
5 0 0.7993 2
5 0 0.4937 2
5 1 0.6831 2
5 0 1.2394 2
5 1 0.753 2
5 0 0.9594 2
5 1 0.6314 2
5 1 0.552 2
5 1 1.006 2
5 1 0.6997 2
5 1 1.3185 2
5 1 0.5967 2
5 1 0.6687 2
5 0 0.44 2
5 1 0.3991 2
5 1 0.5198 2
5 0 0.5327 2
5 1 0.6307 2
5 1 0.5509 2
5 1 0.5417 2
5 0 1.0413 2
5 1 0.7291 2
5 1 1.5045 2
5 1 0.6282 2
5 1 2.3124 2
5 1 0.654 2
5 1 0.5652 2
5 1 0.7416 2
5 0 0.9805 2
5 1 1.4396 2
5 1 0.5897 2
