#subj_idx response rt stim
2 1 1.1986 0
2 1 1.3489 0
2 1 0.8604000001 0
2 1 0.5250999999 0
2 1 0.5421000004 0
2 0 0.8195 0
2 1 1.1734 0
2 1 0.9565 0
2 0 1.0315 0
2 1 0.7789000001 0
2 0 0.7249000001 0
2 1 0.6526000004 0
2 1 0.6194000001 0
2 1 0.7395 0
2 1 0.5953000002 0
2 0 0.9888999996 0
2 1 1.0163 0
2 1 0.9198999996 0
2 0 0.8257999997 0
2 0 0.9110999999 0
2 1 1.2576 0
2 0 0.8032999997 0
2 1 0.771 0
2 1 0.4468999996 0
2 1 0.5385999999 0
2 1 0.5479000001 0
2 1 0.5246000004 0
2 1 0.6867999997 0
2 1 0.6024000001 0
2 1 0.6125 0
2 1 0.4735 0
2 1 0.5551000004 0
2 1 0.8505 0
2 1 0.6765999999 0
2 1 0.7704000001 0
2 1 0.632 0
2 1 0.7882999997 0
2 1 0.7800999999 0
2 1 0.9165 0
2 0 0.7325999999 0
2 0 1.1003 0
2 1 0.8013999996 0
2 1 0.8045 0
2 1 1.9155 0
2 1 0.7062000003 0
2 1 0.6758000002 0
2 1 0.6438000002 0
2 1 0.7015 0
2 1 0.5983000002 0
2 0 0.7627000003 0
2 1 0.7909000001 0
2 0 1.0925 0
2 0 0.9246000004 0
2 1 0.6760999999 0
2 1 0.5638000002 0
2 0 0.5935999999 0
2 1 0.5215999999 0
2 1 0.7853000002 0
2 1 0.6988999996 0
2 1 0.64 0
