#subj_idx response rt stim
3 1 1.3237 1
3 1 1.3859 1
3 1 1.552 1
3 0 1.001 1
3 1 0.7045 1
3 1 0.7771999998 1
3 1 0.7913999999 1
3 1 1.0009 1
3 1 0.5375 1
3 1 0.8648999999 1
3 1 1.0777 1
3 1 1.1523 1
3 1 1.191 1
3 1 0.8251999998 1
3 1 1.1338 1
3 0 0.9219000001 1
3 1 0.9089000001 1
3 1 0.8804000001 1
3 1 0.9536999998 1
3 1 0.8133 1
3 1 0.8043000002 1
3 1 0.8405 1
3 1 0.8752 1
3 1 0.78 1
3 1 0.8032 1
3 1 0.7316999998 1
3 0 0.8966000001 1
3 1 1.1075 1
3 1 0.8975 1
3 0 2.1123 1
3 0 1.5375 1
3 1 0.8552 1
3 1 0.7493999999 1
3 1 0.7027 1
3 0 0.8259000001 1
3 1 0.7298999999 1
3 1 0.8129000001 1
3 1 0.5529000001 1
3 1 1.3284 1
3 1 1.1932 1
3 1 1.0084 1
3 1 0.9883000002 1
3 1 0.9215 1
3 1 0.7747 1
3 1 1.4404 1
3 1 0.9124000001 1
3 1 0.9829000001 1
3 1 1.1837 1
3 1 1.0175 1
3 1 0.8218000002 1
3 1 1.0225 1
3 1 0.7653000002 1
3 1 0.9098000002 1
3 1 0.8719000001 1
