#subj_idx response rt stim
4 1 0.6053 2
4 1 0.7674 2
4 1 0.4386 2
4 1 0.6079 2
4 0 0.6398 2
4 1 0.5405 2
4 0 0.8771 2
4 0 0.7655 2
4 0 1.0689 2
4 1 0.7654 2
4 1 0.6745 2
4 1 0.7152 2
4 1 0.4919 2
4 0 1.0196 2
4 1 0.5401 2
4 1 0.5169 2
4 1 0.6112 2
4 0 0.7068 2
4 1 0.687 2
4 1 0.6812 2
4 1 0.5127 2
4 1 0.6052 2
4 1 0.8301 2
4 1 1.1348 2
4 1 0.594 2
4 0 0.6549 2
4 1 0.7166 2
4 1 0.931 2
4 1 0.6673 2
4 1 0.5826 2
4 0 0.5568 2
4 0 0.5731 2
4 1 0.7001 2
4 1 0.6994 2
4 1 0.7417 2
4 0 0.7643 2
4 1 0.549 2
4 0 0.6204 2
4 1 1.1214 2
4 1 0.8619 2
4 1 0.6593 2
4 1 0.6539 2
4 0 0.5397 2
4 1 0.6194 2
4 1 0.5986 2
4 0 0.62 2
4 1 0.9158 2
4 0 0.8198 2
4 0 0.6895 2
4 0 0.8039 2
4 1 0.7556 2
4 1 0.7004 2
4 0 0.5393 2
4 1 0.6993 2
