"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","rt","url","responses","question_order","value","view_history","stimulus","key_press","trialType","color","tgtPosition","orientation","correct","rewardType","reward","colorPosition"
"","html-keyboard-response","50","148332","0.0-4.0-0.0-1.1","phdnjr9g08","green","580","","","","","","<svg viewBox=""0 0 100 100"" ><circle cx=""50"" cy=""50"" r=""10"" fill=""none"" transform=""translate( 26  15)"" stroke=""black"" /><circle cx=""50"" cy=""50"" r=""10"" fill=""none"" transform=""translate(  0  30)"" stroke=""gold"" /><circle cx=""50"" cy=""50"" r=""10"" fill=""none"" transform=""translate(-26  15)"" stroke=""blueviolet"" /><circle cx=""50"" cy=""50"" r=""10"" fill=""none"" transform=""translate(-26 -15)"" stroke=""magenta"" /><circle cx=""50"" cy=""50"" r=""10"" fill=""none"" transform=""translate(  0 -30)"" stroke=""cyan"" /><circle cx=""50"" cy=""50"" r=""10"" fill=""none"" transform=""translate( 26 -15)"" stroke=""green"" /><path d=""M 50 57 L 50 43"" stroke=""black"" transform=""translate( 26  15) rotate(-45 50 50)""/><path d=""M 50 57 L 50 43"" stroke=""black"" transform=""translate(  0  30) rotate(45 50 50)""/><path d=""M 50 57 L 50 43"" stroke=""black"" transform=""translate(-26  15) rotate(-45 50 50)""/><path d=""M 50 57 L 50 43"" stroke=""black"" transform=""translate(-26 -15) rotate(45 50 50)""/><path d=""M 50 57 L 50 43"" stroke=""black"" transform=""translate(  0 -30) rotate(45 50 50)""/><path d=""M 50 57 L 50 43"" stroke=""black"" transform=""translate( 26 -15) rotate(90 50 50)""/><path d=""M 50 52 L 50 48"" stroke=""black"" stroke-width="".5""/> <path d=""M 52 50 L 48 50"" stroke=""black"" stroke-width="".5""/></svg>","90","VDACtest","green","6th","horizontal","true","high","",""
"","html-keyboard-response","51","150857","0.0-4.0-0.0-2.1","phdnjr9g08","green","null","","","","","","<p style=""font-size:300%;""> + 10 points.</p><p style=""font-size:300%"">Total: 12 points.</p>","null","","","","","","","12",""
"","html-keyboard-response","52","152457","0.0-4.0-0.0-0.2","phdnjr9g08","green","null","","","","","","<svg viewBox=""0 0 100 100"" > <path d=""M 50 52 L 50 48"" stroke=""black"" stroke-width="".5""/> <path d=""M 52 50 L 48 50"" stroke=""black"" stroke-width="".5""/>","null","","","","","","","",""
"","html-keyboard-response","53","153169","0.0-4.0-0.0-1.2","phdnjr9g08","green","712","","","","","","<svg viewBox=""0 0 100 100"" ><circle cx=""50"" cy=""50"" r=""10"" fill=""none"" transform=""translate( 26  15)"" stroke=""black"" /><circle cx=""50"" cy=""50"" r=""10"" fill=""none"" transform=""translate(  0  30)"" stroke=""blueviolet"" /><circle cx=""50"" cy=""50"" r=""10"" fill=""none"" transform=""translate(-26  15)"" stroke=""cyan"" /><circle cx=""50"" cy=""50"" r=""10"" fill=""none"" transform=""translate(-26 -15)"" stroke=""magenta"" /><circle cx=""50"" cy=""50"" r=""10"" fill=""none"" transform=""translate(  0 -30)"" stroke=""red"" /><circle cx=""50"" cy=""50"" r=""10"" fill=""none"" transform=""translate( 26 -15)"" stroke=""gold"" /><path d=""M 50 57 L 50 43"" stroke=""black"" transform=""translate( 26  15) rotate(-45 50 50)""/><path d=""M 50 57 L 50 43"" stroke=""black"" transform=""translate(  0  30) rotate(45 50 50)""/><path d=""M 50 57 L 50 43"" stroke=""black"" transform=""translate(-26  15) rotate(45 50 50)""/><path d=""M 50 57 L 50 43"" stroke=""black"" transform=""translate(-26 -15) rotate(45 50 50)""/><path d=""M 50 57 L 50 43"" stroke=""black"" transform=""translate(  0 -30) rotate(0 50 50)""/><path d=""M 50 57 L 50 43"" stroke=""black"" transform=""translate( 26 -15) rotate(-45 50 50)""/><path d=""M 50 52 L 50 48"" stroke=""black"" stroke-width="".5""/> <path d=""M 52 50 L 48 50"" stroke=""black"" stroke-width="".5""/></svg>","77","VDACtest","red","5th","vertical","true","low","",""
"","html-keyboard-response","54","155676","0.0-4.0-0.0-2.2","phdnjr9g08","green","null","","","","","","<p style=""font-size:300%;""> + 2 points.</p><p style=""font-size:300%"">Total: 14 points.</p>","null","","","","","","","14",""
"","html-keyboard-response","55","157277","0.0-4.0-0.0-0.3","phdnjr9g08","green","null","","","","","","<svg viewBox=""0 0 100 100"" > <path d=""M 50 52 L 50 48"" stroke=""black"" stroke-width="".5""/> <path d=""M 52 50 L 48 50"" stroke=""black"" stroke-width="".5""/>","null","","","","","","","",""
"","html-keyboard-response","56","157876","0.0-4.0-0.0-1.3","phdnjr9g08","green","598","","","","","","<svg viewBox=""0 0 100 100"" ><circle cx=""50"" cy=""50"" r=""10"" fill=""none"" transform=""translate( 26  15)"" stroke=""red"" /><circle cx=""50"" cy=""50"" r=""10"" fill=""none"" transform=""translate(  0  30)"" stroke=""gold"" /><circle cx=""50"" cy=""50"" r=""10"" fill=""none"" transform=""translate(-26  15)"" stroke=""black"" /><circle cx=""50"" cy=""50"" r=""10"" fill=""none"" transform=""translate(-26 -15)"" stroke=""magenta"" /><circle cx=""50"" cy=""50"" r=""10"" fill=""none"" transform=""translate(  0 -30)"" stroke=""cyan"" /><circle cx=""50"" cy=""50"" r=""10"" fill=""none"" transform=""translate( 26 -15)"" stroke=""blueviolet"" /><path d=""M 50 57 L 50 43"" stroke=""black"" transform=""translate( 26  15) rotate(0 50 50)""/><path d=""M 50 57 L 50 43"" stroke=""black"" transform=""translate(  0  30) rotate(-45 50 50)""/><path d=""M 50 57 L 50 43"" stroke=""black"" transform=""translate(-26  15) rotate(45 50 50)""/><path d=""M 50 57 L 50 43"" stroke=""black"" transform=""translate(-26 -15) rotate(-45 50 50)""/><path d=""M 50 57 L 50 43"" stroke=""black"" transform=""translate(  0 -30) rotate(45 50 50)""/><path d=""M 50 57 L 50 43"" stroke=""black"" transform=""translate( 26 -15) rotate(45 50 50)""/><path d=""M 50 52 L 50 48"" stroke=""black"" stroke-width="".5""/> <path d=""M 52 50 L 48 50"" stroke=""black"" stroke-width="".5""/></svg>","77","VDACtest","red","1st","vertical","true","low","",""
"","html-keyboard-response","57","160388","0.0-4.0-0.0-2.3","phdnjr9g08","green","null","","","","","","<p style=""font-size:300%;""> + 2 points.</p><p style=""font-size:300%"">Total: 16 points.</p>","null","","","","","","","16",""
"","html-keyboard-response","58","161996","0.0-4.0-0.0-0.4","phdnjr9g08","green","null","","","","","","<svg viewBox=""0 0 100 100"" > <path d=""M 50 52 L 50 48"" stroke=""black"" stroke-width="".5""/> <path d=""M 52 50 L 48 50"" stroke=""black"" stroke-width="".5""/>","null","","","","","","","",""
"","html-keyboard-response","59","162641","0.0-4.0-0.0-1.4","phdnjr9g08","green","645","","","","","","<svg viewBox=""0 0 100 100"" ><circle cx=""50"" cy=""50"" r=""10"" fill=""none"" transform=""translate( 26  15)"" stroke=""black"" /><circle cx=""50"" cy=""50"" r=""10"" fill=""none"" transform=""translate(  0  30)"" stroke=""cyan"" /><circle cx=""50"" cy=""50"" r=""10"" fill=""none"" transform=""translate(-26  15)"" stroke=""blueviolet"" /><circle cx=""50"" cy=""50"" r=""10"" fill=""none"" transform=""translate(-26 -15)"" stroke=""red"" /><circle cx=""50"" cy=""50"" r=""10"" fill=""none"" transform=""translate(  0 -30)"" stroke=""magenta"" /><circle cx=""50"" cy=""50"" r=""10"" fill=""none"" transform=""translate( 26 -15)"" stroke=""gold"" /><path d=""M 50 57 L 50 43"" stroke=""black"" transform=""translate( 26  15) rotate(45 50 50)""/><path d=""M 50 57 L 50 43"" stroke=""black"" transform=""translate(  0  30) rotate(45 50 50)""/><path d=""M 50 57 L 50 43"" stroke=""black"" transform=""translate(-26  15) rotate(45 50 50)""/><path d=""M 50 57 L 50 43"" stroke=""black"" transform=""translate(-26 -15) rotate(90 50 50)""/><path d=""M 50 57 L 50 43"" stroke=""black"" transform=""translate(  0 -30) rotate(45 50 50)""/><path d=""M 50 57 L 50 43"" stroke=""black"" transform=""translate( 26 -15) rotate(45 50 50)""/><path d=""M 50 52 L 50 48"" stroke=""black"" stroke-width="".5""/> <path d=""M 52 50 L 48 50"" stroke=""black"" stroke-width="".5""/></svg>","90","VDACtest","red","4th","horizontal","true","low","",""
