"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","trialType","tgtPosition","color","colorPosition","rewardType","correct","responses","question_order"
"null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>2</p>","null","html-keyboard-response","22","56014","0.0-0.0-1.0-4.1-1.1-2.1","n3q0l3r2u3","red","","","","","","","",""
"null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>1</p>","null","html-keyboard-response","23","57015","0.0-0.0-1.0-4.1-1.1-3.1","n3q0l3r2u3","red","","","","","","","",""
"null","<svg viewBox=""0 0 100 100"" > <path d=""M 50 52 L 50 48"" stroke=""black"" stroke-width="".5""/> <path d=""M 52 50 L 48 50"" stroke=""black"" stroke-width="".5""/>","null","html-keyboard-response","24","57457","0.0-0.0-1.0-0.2","n3q0l3r2u3","red","","","","","","","",""
"null","<p style=""color: black; text-align:center; font-family: BACS2; font-size:1000%;"">P</p>","null","html-keyboard-response","25","57959","0.0-0.0-1.0-1.2-0.2","n3q0l3r2u3","red","","","","","","","",""
"null","<p style=""color: green; text-align:center; font-family: BACS2; font-size:1000%;"">X</p>","null","html-keyboard-response","26","58461","0.0-0.0-1.0-1.2-1.2","n3q0l3r2u3","red","","","","","","","",""
"null","<p style=""color: black; text-align:center; font-family: BACS2; font-size:1000%;"">E</p>","null","html-keyboard-response","27","58962","0.0-0.0-1.0-1.2-2.2","n3q0l3r2u3","red","","","","","","","",""
"null","<svg xmlns=""http://www.w3.org/2000/svg"" width=""500"" height=""500"" viewBox=""-5 -5 20 20""> <rect x=""0"" y=""0"" width=""10"" height=""10"" /><path fill=""#FFF"" d=""M 0,1 H 10 v 1 H 0 z m 0,2 H 10 v 1 H 0 zm 0,2 H 10 v 1 H 0 zm 0,2 H 10 v 1 H 0 zm 0,2 H 10 v 1 H 0 zM 1,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 z""/></svg>","null","html-keyboard-response","28","59463","0.0-0.0-1.0-1.2-3.2","n3q0l3r2u3","red","","","","","","","",""
"null","<p style=""color: black; text-align:center; font-family: BACS2; font-size:1000%;"">a</p>","null","html-keyboard-response","29","61965","0.0-0.0-1.0-1.2-4.2","n3q0l3r2u3","red","RSVPtest","new","green","2nd","low","null","",""
"null","<p style=""font-size:300%;"">Miss.</p>","null","html-keyboard-response","30","64468","0.0-0.0-1.0-2.2","n3q0l3r2u3","red","","","","","","","",""
"4890.409999992698","<p>You have finished block 3 of 4. You may now take up to a 30 second break. Press any key when you are ready to continue, or it will begin automatically after 30 seconds. Remember, press <b>Z</b> if the test character is the same as a previous character in the set or press <b>M</b> if the character is different from the set.</p><p>You responded correctly on 0% of the trials.</p>","88","html-keyboard-response","31","70361","0.0-0.0-1.0-4.2-0.2","n3q0l3r2u3","red","","","","","","","",""
