subID,trialType,trialNum,cntBalance,correct,rt,rwdType,tgtCol,tgtPos,colPos,colMatch,
koy,RSVPtest,1,g,null,null,1,r,0,0,2,
koy,RSVPtest,2,g,null,null,1,r,1,0,1,
koy,RSVPtest,3,g,null,null,1,r,2,0,1,
koy,RSVPtest,4,g,null,null,1,r,3,0,1,
koy,RSVPtest,5,g,null,null,1,r,3,0,1,
koy,RSVPtest,6,g,null,null,2,g,0,0,2,
koy,RSVPtest,7,g,null,null,2,g,1,0,1,
koy,RSVPtest,8,g,null,null,2,g,2,0,1,
koy,RSVPtest,9,g,null,null,2,g,3,0,1,
koy,RSVPtest,10,g,null,null,2,g,3,0,1,
koy,RSVPtest,11,g,null,null,1,r,0,1,1,
koy,RSVPtest,12,g,null,null,1,r,1,1,2,
koy,RSVPtest,13,g,null,null,1,r,2,1,1,
koy,RSVPtest,14,g,null,null,1,r,3,1,1,
koy,RSVPtest,15,g,null,null,1,r,3,1,1,
koy,RSVPtest,16,g,null,null,2,g,0,1,1,
koy,RSVPtest,17,g,null,null,2,g,1,1,2,
koy,RSVPtest,18,g,null,null,2,g,2,1,1,
koy,RSVPtest,19,g,null,null,2,g,3,1,1,
koy,RSVPtest,20,g,null,null,2,g,3,1,1,
koy,RSVPtest,21,g,null,null,1,r,0,2,1,
koy,RSVPtest,22,g,null,null,1,r,1,2,1,
koy,RSVPtest,23,g,null,null,1,r,2,2,2,
koy,RSVPtest,24,g,null,null,1,r,3,2,1,
koy,RSVPtest,25,g,null,null,1,r,3,2,1,
koy,RSVPtest,26,g,null,null,2,g,0,2,1,
koy,RSVPtest,27,g,null,null,2,g,1,2,1,
koy,RSVPtest,28,g,null,null,2,g,2,2,2,
koy,RSVPtest,29,g,null,null,2,g,3,2,1,
koy,RSVPtest,30,g,null,null,2,g,3,2,1,
koy,RSVPtest,31,g,null,null,0,b,0,3,0,
koy,RSVPtest,32,g,null,null,0,b,0,3,0,
koy,RSVPtest,33,g,null,null,0,b,1,3,0,
koy,RSVPtest,34,g,null,null,0,b,1,3,0,
koy,RSVPtest,35,g,null,null,0,b,2,3,0,
koy,RSVPtest,36,g,null,null,0,b,2,3,0,
koy,RSVPtest,37,g,null,null,0,b,3,3,0,
koy,RSVPtest,38,g,null,null,0,b,3,3,0,
koy,RSVPtest,39,g,null,null,0,b,3,3,0,
koy,RSVPtest,40,g,null,null,0,b,3,3,0,
koy,RSVPtest,41,g,null,null,1,r,0,0,2,
koy,RSVPtest,42,g,null,null,1,r,1,0,1,
koy,RSVPtest,43,g,null,null,1,r,2,0,1,
koy,RSVPtest,44,g,null,null,1,r,3,0,1,
koy,RSVPtest,45,g,null,null,1,r,3,0,1,
koy,RSVPtest,46,g,null,null,2,g,0,0,2,
koy,RSVPtest,47,g,null,null,2,g,1,0,1,
koy,RSVPtest,48,g,null,null,2,g,2,0,1,
koy,RSVPtest,49,g,null,null,2,g,3,0,1,
koy,RSVPtest,50,g,null,null,2,g,3,0,1,
koy,RSVPtest,51,g,null,null,1,r,0,1,1,
koy,RSVPtest,52,g,null,null,1,r,1,1,2,
koy,RSVPtest,53,g,null,null,1,r,2,1,1,
koy,RSVPtest,54,g,null,null,1,r,3,1,1,
koy,RSVPtest,55,g,null,null,1,r,3,1,1,
koy,RSVPtest,56,g,null,null,2,g,0,1,1,
koy,RSVPtest,57,g,null,null,2,g,1,1,2,
koy,RSVPtest,58,g,null,null,2,g,2,1,1,
koy,RSVPtest,59,g,null,null,2,g,3,1,1,
koy,RSVPtest,60,g,null,null,2,g,3,1,1,
koy,RSVPtest,61,g,null,null,1,r,0,2,1,
koy,RSVPtest,62,g,null,null,1,r,1,2,1,
koy,RSVPtest,63,g,null,null,1,r,2,2,2,
koy,RSVPtest,64,g,null,null,1,r,3,2,1,
koy,RSVPtest,65,g,null,null,1,r,3,2,1,
koy,RSVPtest,66,g,null,null,2,g,0,2,1,
koy,RSVPtest,67,g,null,null,2,g,1,2,1,
koy,RSVPtest,68,g,null,null,2,g,2,2,2,
koy,RSVPtest,69,g,null,null,2,g,3,2,1,
koy,RSVPtest,70,g,null,null,2,g,3,2,1,
koy,RSVPtest,71,g,null,null,0,b,0,3,0,
koy,RSVPtest,72,g,null,null,0,b,0,3,0,
koy,RSVPtest,73,g,null,null,0,b,1,3,0,
koy,RSVPtest,74,g,null,null,0,b,1,3,0,
koy,RSVPtest,75,g,null,null,0,b,2,3,0,
koy,RSVPtest,76,g,null,null,0,b,2,3,0,
koy,RSVPtest,77,g,null,null,0,b,3,3,0,
koy,RSVPtest,78,g,null,null,0,b,3,3,0,
koy,RSVPtest,79,g,null,null,0,b,3,3,0,
koy,RSVPtest,80,g,null,null,0,b,3,3,0,
koy,RSVPtest,81,g,null,null,1,r,0,0,2,
koy,RSVPtest,82,g,null,null,1,r,1,0,1,
koy,RSVPtest,83,g,null,null,1,r,2,0,1,
koy,RSVPtest,84,g,null,null,1,r,3,0,1,
koy,RSVPtest,85,g,null,null,1,r,3,0,1,
koy,RSVPtest,86,g,null,null,2,g,0,0,2,
koy,RSVPtest,87,g,null,null,2,g,1,0,1,
koy,RSVPtest,88,g,null,null,2,g,2,0,1,
koy,RSVPtest,89,g,null,null,2,g,3,0,1,
koy,RSVPtest,90,g,null,null,2,g,3,0,1,
koy,RSVPtest,91,g,null,null,1,r,0,1,1,
koy,RSVPtest,92,g,null,null,1,r,1,1,2,
koy,RSVPtest,93,g,null,null,1,r,2,1,1,
koy,RSVPtest,94,g,null,null,1,r,3,1,1,
koy,RSVPtest,95,g,null,null,1,r,3,1,1,
koy,RSVPtest,96,g,null,null,2,g,0,1,1,
koy,RSVPtest,97,g,null,null,2,g,1,1,2,
koy,RSVPtest,98,g,null,null,2,g,2,1,1,
koy,RSVPtest,99,g,null,null,2,g,3,1,1,
koy,RSVPtest,100,g,null,null,2,g,3,1,1,
koy,RSVPtest,101,g,null,null,1,r,0,2,1,
koy,RSVPtest,102,g,null,null,1,r,1,2,1,
koy,RSVPtest,103,g,null,null,1,r,2,2,2,
koy,RSVPtest,104,g,null,null,1,r,3,2,1,
koy,RSVPtest,105,g,null,null,1,r,3,2,1,
koy,RSVPtest,106,g,null,null,2,g,0,2,1,
koy,RSVPtest,107,g,null,null,2,g,1,2,1,
koy,RSVPtest,108,g,null,null,2,g,2,2,2,
koy,RSVPtest,109,g,null,null,2,g,3,2,1,
koy,RSVPtest,110,g,null,null,2,g,3,2,1,
koy,RSVPtest,111,g,null,null,0,b,0,3,0,
koy,RSVPtest,112,g,null,null,0,b,0,3,0,
koy,RSVPtest,113,g,null,null,0,b,1,3,0,
koy,RSVPtest,114,g,null,null,0,b,1,3,0,
koy,RSVPtest,115,g,null,null,0,b,2,3,0,
koy,RSVPtest,116,g,null,null,0,b,2,3,0,
