"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","rt","url","responses","question_order","view_history","stimulus","key_press","trialType","color","tgtPosition","orientation","correct","rewardType","reward","value","colorPosition"
"","html-keyboard-response","281","511440","0.0-7.0-0.0-0.10","fudttrkjtv","green","null","","","","","<svg viewBox=""0 0 100 100"" > <path d=""M 50 52 L 50 48"" stroke=""black"" stroke-width="".5""/> <path d=""M 52 50 L 48 50"" stroke=""black"" stroke-width="".5""/>","null","","","","","","","","",""
"","html-keyboard-response","282","511941","0.0-7.0-0.0-1.10-0.10","fudttrkjtv","green","null","","","","","<p style=""color: black; text-align:center; font-family: BACS2; font-size:1000%;"">T</p>","null","","","","","","","","",""
"","html-keyboard-response","283","512442","0.0-7.0-0.0-1.10-1.10","fudttrkjtv","green","null","","","","","<p style=""color: black; text-align:center; font-family: BACS2; font-size:1000%;"">o</p>","null","","","","","","","","",""
"","html-keyboard-response","284","512943","0.0-7.0-0.0-1.10-2.10","fudttrkjtv","green","null","","","","","<p style=""color: black; text-align:center; font-family: BACS2; font-size:1000%;"">d</p>","null","","","","","","","","",""
"","html-keyboard-response","285","513449","0.0-7.0-0.0-1.10-3.10","fudttrkjtv","green","null","","","","","<svg xmlns=""http://www.w3.org/2000/svg"" width=""500"" height=""500"" viewBox=""-5 -5 20 20""> <rect x=""0"" y=""0"" width=""10"" height=""10"" /><path fill=""#FFF"" d=""M 0,1 H 10 v 1 H 0 z m 0,2 H 10 v 1 H 0 zm 0,2 H 10 v 1 H 0 zm 0,2 H 10 v 1 H 0 zm 0,2 H 10 v 1 H 0 zM 1,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 z""/></svg>","null","","","","","","","","",""
"","html-keyboard-response","286","514096","0.0-7.0-0.0-1.10-4.10","fudttrkjtv","green","646.7350000020815","","","","","<p style=""color: black; text-align:center; font-family: BACS2; font-size:1000%;"">c</p>","77","RSVPtest","none","new","","true","none","","","none"
"","html-keyboard-response","287","516599","0.0-7.0-0.0-2.10","fudttrkjtv","green","null","","","","","<p style=""font-size:300%;"">Correct!</p>","null","","","","","","","","",""
"","html-keyboard-response","288","518397","0.0-7.0-0.0-0.11","fudttrkjtv","green","null","","","","","<svg viewBox=""0 0 100 100"" > <path d=""M 50 52 L 50 48"" stroke=""black"" stroke-width="".5""/> <path d=""M 52 50 L 48 50"" stroke=""black"" stroke-width="".5""/>","null","","","","","","","","",""
"","html-keyboard-response","289","518899","0.0-7.0-0.0-1.11-0.11","fudttrkjtv","green","null","","","","","<p style=""color: black; text-align:center; font-family: BACS2; font-size:1000%;"">A</p>","null","","","","","","","","",""
"","html-keyboard-response","290","519400","0.0-7.0-0.0-1.11-1.11","fudttrkjtv","green","null","","","","","<p style=""color: red; text-align:center; font-family: BACS1; font-size:1000%;"">e</p>","null","","","","","","","","",""
"","html-keyboard-response","291","519900","0.0-7.0-0.0-1.11-2.11","fudttrkjtv","green","null","","","","","<p style=""color: black; text-align:center; font-family: BACS2; font-size:1000%;"">k</p>","null","","","","","","","","",""
"","html-keyboard-response","292","520401","0.0-7.0-0.0-1.11-3.11","fudttrkjtv","green","null","","","","","<svg xmlns=""http://www.w3.org/2000/svg"" width=""500"" height=""500"" viewBox=""-5 -5 20 20""> <rect x=""0"" y=""0"" width=""10"" height=""10"" /><path fill=""#FFF"" d=""M 0,1 H 10 v 1 H 0 z m 0,2 H 10 v 1 H 0 zm 0,2 H 10 v 1 H 0 zm 0,2 H 10 v 1 H 0 zm 0,2 H 10 v 1 H 0 zM 1,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 z""/></svg>","null","","","","","","","","",""
"","html-keyboard-response","293","521569","0.0-7.0-0.0-1.11-4.11","fudttrkjtv","green","1167.0699999995413","","","","","<p style=""color: black; text-align:center; font-family: BACS2; font-size:1000%;"">L</p>","77","RSVPtest","red","new","","true","low","","","2nd"
"","html-keyboard-response","294","524071","0.0-7.0-0.0-2.11","fudttrkjtv","green","null","","","","","<p style=""font-size:300%;"">Correct!</p>","null","","","","","","","","",""
