"subID","rt","correct","tgtPos","rwdType","colMatch"
0,0.822,1,0,2,2
0,1.24360000014305,1,0,2,1
0,0.698,1,0,1,1
0,0.716,1,0,2,2
0,0.667,1,0,0,0
0,0.795099999904633,1,1,1,1
0,0.715699999809265,1,0,1,1
0,0.733399999856949,1,0,0,0
0,0.941599999904633,1,0,0,0
0,0.932100000143051,1,0,1,2
0,0.694700000047684,1,1,0,0
0,1.15579999995232,1,0,1,1
0,0.800700000047684,1,0,1,2
0,0.739199999809265,1,1,1,1
0,0.901600000143051,1,1,1,1
0,0.796299999952316,1,1,0,0
0,0.708700000047684,1,0,1,1
0,1.35709999990463,1,0,1,2
0,1.40290000009537,1,0,1,2
0,0.754700000047684,1,0,2,1
0,1.00440000009537,1,1,1,1
0,1.10840000009537,1,1,1,1
0,0.837799999952316,1,0,2,1
0,1.12479999995232,1,1,0,0
0,1.12309999990463,1,0,2,1
0,1.46679999995232,1,0,1,1
0,0.747599999904633,1,1,1,1
0,1.11620000004768,1,0,1,2
0,1.07609999990463,1,0,1,2
0,0.697900000095367,1,1,2,1
0,1.00390000009537,1,0,1,2
0,0.843900000095367,1,1,1,1
0,0.787100000143051,1,1,2,1
0,0.785900000095367,1,0,2,1
0,1.0215,1,0,2,1
0,0.739700000047684,1,1,0,0
0,1.02789999985695,0,1,1,1
0,1.1465,1,1,2,1
0,0.980900000095367,1,0,1,1
0,0.923100000143051,1,1,2,1
0,0.947899999856949,1,0,2,2
0,1.17090000009537,1,1,2,1
0,0.883699999809265,1,1,2,1
0,0.660299999952316,1,0,0,0
0,1.18780000019073,1,0,2,1
0,0.6575,1,1,2,1
0,1.1635,1,0,2,1
0,1.13970000004768,1,0,2,1
0,0.948100000143051,1,1,0,0
0,0.852299999952316,1,0,2,1
0,1.73990000009537,1,1,2,1
0,0.761199999809265,0,1,1,1
0,0.963,1,0,2,2
0,1.43559999990463,1,1,2,1
0,1.38829999995232,1,1,2,1
0,1.21170000004768,1,1,1,1
0,0.747700000047684,1,0,0,0
0,1.653,0,1,1,1
0,1.05109999990463,1,0,2,1
0,1.73139999985695,0,0,0,0
0,0.883799999952316,1,1,2,1
0,1.13059999990463,1,0,0,0
0,1.50690000009537,1,0,2,2
0,0.851099999904633,0,1,2,1
0,1.389,1,1,0,0
0,0.9625,0,1,1,1
0,0.979899999856949,1,0,1,1
0,0.954799999952316,1,1,1,1
0,0.843899999856949,1,1,1,1
0,1.03470000004768,1,0,2,1
0,0.802900000095367,1,1,0,0
0,0.570700000047684,1,0,2,1
0,0.940400000095367,1,0,0,0
0,0.921,1,0,2,2
0,1.3865,1,0,0,0
0,0.850199999809265,1,1,2,1
0,1.52159999990463,1,1,2,1
0,0.747100000143051,1,1,2,1
0,0.8745,1,1,1,1
0,1.01040000009537,1,0,2,1
0,0.722099999904633,1,0,0,0
0,1.00079999995232,1,0,1,1
0,1.05879999995232,1,0,2,1
0,0.7785,1,0,0,0
0,0.619799999952316,1,1,1,1
0,0.851099999904633,1,0,0,0
0,1.106,1,0,1,1
0,0.769200000047684,1,0,2,2
0,0.906599999904633,1,1,2,1
0,1.03420000004768,1,1,1,1
0,0.946299999952316,1,0,2,1
0,0.762200000047684,1,0,0,0
0,0.808400000095367,1,1,1,1
0,1.353,1,0,1,2
0,0.688600000143051,1,0,1,2
0,0.858899999856949,1,0,1,1
0,0.8515,1,1,1,1
0,1.41690000009537,1,0,1,1
0,0.651,1,1,0,0
0,0.636299999952316,1,1,2,1
0,0.738700000047684,1,0,2,2
0,1.148,1,0,1,1
0,0.700099999904633,1,0,1,1
0,0.859,1,0,1,2
0,0.988700000047684,1,0,2,1
0,0.946400000095367,1,0,1,1
0,0.700299999952316,1,1,1,1
0,0.752700000047684,1,1,2,1
0,0.658599999904633,1,0,1,2
0,0.754200000047684,1,0,1,1
0,0.842400000095367,1,0,2,2
0,0.650799999952316,1,0,2,2
0,0.649,1,1,2,1
0,0.803799999952316,1,1,1,1
0,0.859100000143051,1,0,0,0
0,0.833799999952316,1,0,1,1
0,0.545299999952316,1,1,2,1
0,0.746200000047684,1,0,1,1
0,1.21729999995232,1,0,2,2
0,0.7705,1,1,0,0
0,0.554599999904633,1,1,2,1
0,1.08129999995232,0,0,1,2
0,1.00959999990463,1,0,0,0
0,0.786299999952316,1,1,0,0
0,0.793400000095367,1,0,2,1
0,0.542799999952316,1,1,1,1
0,0.817300000190735,1,0,0,0
0,0.849899999856949,1,0,0,0
0,0.7935,1,0,2,1
0,0.569899999856949,1,0,1,1
0,0.591700000047684,1,1,0,0
0,0.648099999904633,1,0,2,1
0,0.660799999952316,1,1,1,1
0,0.704200000047684,1,0,1,1
0,0.9355,1,0,1,2
0,0.720799999952316,1,0,0,0
0,0.714299999952316,1,0,2,1
0,0.642700000047684,1,1,1,1
0,0.527099999904633,1,0,1,1
0,0.713200000047684,1,0,0,0
0,0.521099999904633,1,1,0,0
0,0.577700000047684,1,0,1,1
0,0.649900000095367,1,1,2,1
0,0.728400000095367,1,1,2,1
0,1.18609999990463,1,0,2,2
0,1.3615,0,0,1,1
0,0.626200000047684,1,0,1,1
0,0.626399999856949,1,1,2,1
0,0.618099999904633,1,0,0,0
0,0.658399999856949,1,1,2,1
0,0.657599999904633,1,0,0,0
0,0.681700000047684,1,0,0,0
0,0.395799999952316,1,0,0,0
0,0.874299999952316,1,0,2,1
0,1.30740000009537,0,0,2,1
0,0.614200000047684,1,0,1,1
0,1.36159999990463,1,0,2,2
0,0.463700000047684,1,0,2,2
0,0.943199999809265,1,0,0,0
0,0.4345,1,0,0,0
0,0.673,1,0,0,0
0,0.889299999952316,1,0,2,2
0,0.783,1,0,1,1
0,0.775600000143051,1,0,2,1
0,0.9605,1,0,1,1
0,0.815799999952316,1,1,1,1
0,0.7105,1,1,1,1
0,1.06529999995232,1,1,2,1
0,0.745599999904633,1,0,1,1
0,1.02440000009537,1,1,1,1
0,0.6105,1,0,2,1
0,0.8795,1,0,1,2
0,0.655699999809265,1,0,2,1
0,0.682099999904633,1,0,2,1
0,0.712799999952316,1,1,1,1
0,0.679200000047684,1,0,2,1
0,0.520700000047684,1,1,1,1
0,0.728599999904633,0,0,1,1
0,0.6905,1,0,1,1
0,0.6065,1,0,1,2
0,0.775900000095367,1,1,2,1
0,0.799,0,0,1,1
0,0.978299999952316,0,1,0,0
0,1.22110000014305,1,0,0,0
0,0.894100000143051,1,0,0,0
0,0.791300000190735,1,1,0,0
0,0.722,1,1,1,1
0,0.840200000047684,1,0,2,2
0,0.695799999952316,1,0,2,1
0,0.769599999904633,1,0,2,1
0,1.25609999990463,1,0,2,1
0,0.579400000095367,1,1,0,0
0,0.778900000095367,1,1,1,1
0,0.864700000047684,1,0,0,0
0,0.650099999904633,1,1,2,1
0,0.888299999952316,1,0,0,0
0,0.658399999856949,1,1,0,0
0,0.536799999952316,1,1,2,1
0,0.992,1,0,0,0
0,0.728099999904633,1,0,1,1
0,0.977200000047684,1,0,1,2
0,0.815100000143051,1,1,2,1
0,0.727700000047684,1,1,0,0
0,0.7535,1,0,0,0
0,0.993199999809265,1,1,2,1
0,0.655200000047684,1,1,1,1
0,0.665199999809265,1,0,1,1
0,0.725899999856949,1,1,2,1
0,0.634900000095367,1,0,0,0
0,0.890200000047684,1,1,0,0
0,0.808200000047684,1,1,0,0
0,0.726799999952316,1,0,1,1
0,0.639,1,1,0,0
0,0.6725,1,1,0,0
0,0.713200000047684,1,1,1,1
0,0.847400000095367,1,0,1,1
0,1.1765,1,0,1,1
0,0.688599999904633,1,1,1,1
0,0.8,1,0,2,2
0,0.5595,1,1,0,0
0,0.7285,1,0,0,0
0,0.640900000095367,1,1,0,0
0,0.613600000143051,1,0,2,1
0,0.617099999904633,1,0,2,2
0,0.501900000095367,1,0,2,1
0,0.559700000047684,1,1,2,1
0,0.670899999856949,1,0,0,0
0,0.663400000095367,1,1,2,1
0,0.622400000095367,1,0,0,0
0,1.51980000019073,1,0,2,1
0,1.27270000004768,0,0,1,2
0,0.7115,1,1,0,0
0,0.958600000143051,1,0,2,1
0,0.729799999952316,1,0,2,1
0,0.502399999856949,1,0,1,2
0,0.808399999856949,1,0,1,1
0,0.616200000047684,1,1,1,1
0,0.634,1,1,1,1
0,0.736399999856949,1,1,2,1
0,0.609800000190735,1,1,2,1
1,0.774100000008941,1,0,1,1
1,0.70659999999404,1,0,2,1
1,0.57229999999702,1,1,1,1
1,0.80509999999404,1,0,0,0
1,0.96590000000596,1,0,2,1
1,0.676600000008941,0,0,1,2
1,0.8685,1,0,0,0
1,0.68370000000298,1,0,2,1
1,0.541800000011921,0,0,1,1
1,0.56529999999702,1,0,1,1
1,1.0255,1,0,2,1
1,0.677,1,1,2,1
1,0.61270000000298,1,1,2,1
1,0.844100000008941,0,0,0,0
1,0.6915,0,1,0,0
1,0.59640000000596,1,0,1,1
1,0.75340000000596,0,0,1,1
1,0.98779999999702,1,1,2,1
1,0.71790000000596,1,0,0,0
1,0.795100000008941,1,1,1,1
1,0.645399999991059,0,1,2,1
1,0.388600000008941,0,0,1,2
1,0.61629999999702,1,1,1,1
1,0.94979999999702,1,1,1,1
1,0.87690000000596,1,0,0,0
1,1.05129999999702,1,1,2,1
1,1.17140000000596,1,1,1,1
1,0.88309999999404,1,1,0,0
1,0.634,0,1,1,1
1,1.01580000001192,1,1,2,1
1,0.789,1,1,2,1
1,1.0685,1,1,1,1
1,1.24419999998808,1,1,2,1
1,0.81220000000298,1,1,1,1
1,0.78970000000298,1,1,0,0
1,1.06220000000298,1,1,2,1
1,1.6365,1,1,2,1
1,0.804100000008941,1,0,0,0
1,0.46220000000298,1,0,1,2
1,1.29859999999404,1,1,1,1
1,0.93059999999404,1,1,2,1
