"subject","rewardType","tgtPosition","colorPosition","response","rt","congruence"
"1","none","1st","none","1",0.9468,"na"
"1","high","2nd","1st","1",0.98445,"incongruent"
"1","none","2nd","none","1",1.00124,"na"
"1","none","1st","none","1",0.953995,"na"
"1","high","2nd","2nd","1",0.828455,"congruent"
"1","high","2nd","1st","1",0.936335,"incongruent"
"1","none","3rd","none","1",0.669505,"na"
"1","high","3rd","2nd","1",0.878205,"incongruent"
"1","low","2nd","2nd","1",0.88241,"congruent"
"1","none","2nd","none","1",0.82397,"na"
"1","high","2nd","3rd","1",0.805715,"incongruent"
"1","none","2nd","none","0",1.71747,"na"
"1","low","2nd","3rd","1",0.94849,"incongruent"
"1","high","3rd","3rd","1",0.93144,"congruent"
"1","low","1st","1st","0",1.36942,"congruent"
"1","low","1st","3rd","1",0.91658,"incongruent"
"1","none","2nd","none","1",0.827905,"na"
"1","none","3rd","none","1",0.577725,"na"
"1","high","3rd","3rd","1",0.733215,"congruent"
"1","low","1st","3rd","1",0.854945,"incongruent"
"1","high","1st","3rd","1",0.92987,"incongruent"
"1","high","1st","2nd","1",0.999675,"incongruent"
"1","high","3rd","1st","1",0.96456,"incongruent"
"1","low","3rd","3rd","1",0.7863,"congruent"
"1","high","2nd","1st","1",0.836275,"incongruent"
"1","low","3rd","1st","1",0.730935,"incongruent"
"1","low","3rd","1st","1",0.676645,"incongruent"
"1","high","3rd","2nd","1",0.710925,"incongruent"
"1","low","2nd","2nd","1",0.704455,"congruent"
"1","low","3rd","3rd","1",0.94781,"congruent"
"1","high","3rd","3rd","1",0.770885,"congruent"
"1","high","1st","2nd","1",0.817055,"incongruent"
"1","none","1st","none","1",1.21718,"na"
"1","high","3rd","3rd","1",0.482155,"congruent"
"1","low","2nd","1st","1",0.87393,"incongruent"
"1","none","3rd","none","1",0.56697,"na"
"1","low","2nd","2nd","1",0.65716,"congruent"
"1","low","2nd","1st","1",0.86357,"incongruent"
"1","none","2nd","none","1",0.86902,"na"
"1","high","1st","1st","1",0.92792,"congruent"
"1","high","1st","1st","1",0.81909,"congruent"
"1","high","3rd","1st","1",0.915925,"incongruent"
"1","low","1st","2nd","1",0.914195,"incongruent"
"1","high","1st","3rd","1",0.748145,"incongruent"
"1","high","2nd","3rd","1",0.69401,"incongruent"
"1","high","3rd","3rd","1",0.82661,"congruent"
"1","low","1st","2nd","1",0.71151,"incongruent"
"1","low","3rd","3rd","1",0.490785,"congruent"
"1","low","1st","1st","1",0.581975,"congruent"
"1","none","1st","none","1",0.864075,"na"
"1","low","1st","2nd","1",0.730215,"incongruent"
"1","low","2nd","3rd","1",0.80534,"incongruent"
"1","low","3rd","2nd","1",0.70381,"incongruent"
"1","none","3rd","none","1",0.628915,"na"
"1","high","3rd","1st","1",0.606435,"incongruent"
"1","low","2nd","2nd","1",0.703445,"congruent"
"1","low","2nd","1st","1",0.88411,"incongruent"
"1","high","1st","3rd","1",0.67085,"incongruent"
"1","low","2nd","3rd","1",0.80063,"incongruent"
"1","none","1st","none","1",0.80264,"na"
"1","none","1st","none","1",0.77977,"na"
"1","low","3rd","2nd","1",0.54076,"incongruent"
"1","low","1st","1st","1",0.6467,"congruent"
"1","high","1st","3rd","1",0.663905,"incongruent"
"1","high","2nd","3rd","1",0.622275,"incongruent"
"1","none","2nd","none","1",0.87417,"na"
"1","none","3rd","none","1",0.65801,"na"
"1","high","1st","1st","1",0.80932,"congruent"
"1","none","3rd","none","1",0.548145,"na"
"1","low","3rd","2nd","1",0.80923,"incongruent"
"1","none","3rd","none","1",0.508805,"na"
"1","low","2nd","1st","1",0.75078,"incongruent"
"1","low","3rd","1st","1",0.53381,"incongruent"
"1","low","3rd","2nd","1",0.88968,"incongruent"
"1","none","1st","none","1",0.78738,"na"
"1","none","2nd","none","1",0.876955,"na"
"1","high","1st","1st","1",0.77396,"congruent"
"1","low","2nd","1st","1",0.736795,"incongruent"
"1","low","2nd","3rd","1",0.7305,"incongruent"
"1","high","2nd","1st","1",0.822785,"incongruent"
"1","low","3rd","3rd","1",0.70338,"congruent"
"1","low","1st","2nd","1",0.87085,"incongruent"
"1","high","2nd","2nd","1",0.77701,"congruent"
"1","low","3rd","2nd","1",0.645785,"incongruent"
"1","high","1st","2nd","1",0.67983,"incongruent"
"1","none","2nd","none","1",1.230255,"na"
"1","high","3rd","2nd","1",0.57675,"incongruent"
"1","none","3rd","none","1",0.480855,"na"
"1","none","3rd","none","1",0.689745,"na"
"1","low","1st","3rd","1",0.58443,"incongruent"
"1","low","1st","3rd","1",0.6529,"incongruent"
"1","none","1st","none","1",0.619505,"na"
"1","none","1st","none","1",1.346715,"na"
"1","high","1st","2nd","0",0.88716,"incongruent"
"1","high","2nd","3rd","1",0.79109,"incongruent"
"1","low","3rd","1st","1",0.690715,"incongruent"
"1","high","3rd","1st","1",0.673795,"incongruent"
"1","low","1st","1st","1",0.952395,"congruent"
"1","high","2nd","3rd","1",0.71664,"incongruent"
"1","high","3rd","2nd","1",0.601905,"incongruent"
"1","low","2nd","2nd","1",0.783475,"congruent"
"1","low","3rd","3rd","1",0.505405,"congruent"
"1","low","1st","2nd","1",0.714305,"incongruent"
"1","none","2nd","none","1",0.725265,"na"
"1","high","1st","3rd","1",0.844065,"incongruent"
"1","low","1st","3rd","1",1.186525,"incongruent"
"1","high","2nd","2nd","1",0.9002,"congruent"
"1","low","2nd","3rd","1",0.71585,"incongruent"
"1","high","3rd","2nd","1",0.635105,"incongruent"
"1","high","2nd","2nd","1",0.683975,"congruent"
"1","none","3rd","none","1",0.654995,"na"
"1","none","2nd","none","1",0.749595,"na"
"2","none","1st","none","0",0.518,"na"
"2","high","3rd","1st","1",0.549,"incongruent"
"2","low","1st","1st","0",0.479,"congruent"
"2","none","1st","none","1",0.669,"na"
"2","low","3rd","1st","1",0.667,"incongruent"
"2","high","2nd","1st","1",0.709,"incongruent"
"2","high","3rd","3rd","0",0.552,"congruent"
"2","high","1st","2nd","1",0.813,"incongruent"
"2","high","2nd","1st","1",0.531,"incongruent"
"2","none","3rd","none","1",0.58,"na"
"2","high","1st","3rd","1",0.663,"incongruent"
"2","high","3rd","2nd","1",0.453,"incongruent"
"2","none","2nd","none","1",0.558,"na"
"2","high","2nd","1st","1",0.715,"incongruent"
"2","none","1st","none","1",0.545,"na"
"2","high","1st","1st","0",0.627,"congruent"
"2","none","2nd","none","0",0.642,"na"
"2","high","3rd","1st","1",0.823,"incongruent"
"2","high","2nd","2nd","0",0.973,"congruent"
"2","low","2nd","1st","1",0.737,"incongruent"
"2","none","1st","none","1",0.7,"na"
"2","none","3rd","none","1",0.468,"na"
"2","low","3rd","3rd","1",0.621,"congruent"
"2","high","3rd","1st","1",0.611,"incongruent"
"2","high","2nd","1st","1",0.645,"incongruent"
"2","none","3rd","none","1",0.637,"na"
"2","low","2nd","2nd","1",0.613,"congruent"
"2","low","1st","3rd","1",0.644,"incongruent"
"2","high","2nd","2nd","1",0.589,"congruent"
"2","high","1st","2nd","1",0.627,"incongruent"
"2","low","2nd","2nd","1",0.576,"congruent"
"2","high","1st","3rd","1",0.533,"incongruent"
"2","none","1st","none","0",0.681,"na"
