"subID","rt","correct","rwdType","colMatch"
0,822,1,2,2
0,1243.60000014305,1,2,1
0,698,1,1,1
0,716,1,2,2
0,667,1,0,0
0,795.099999904633,1,1,1
0,715.699999809265,1,1,1
0,733.399999856949,1,0,0
0,941.599999904633,1,0,0
0,932.100000143051,1,1,2
0,694.700000047684,1,0,0
0,1155.79999995232,1,1,1
0,800.700000047684,1,1,2
0,739.199999809265,1,1,1
0,901.600000143051,1,1,1
0,796.299999952316,1,0,0
0,708.700000047684,1,1,1
0,1357.09999990463,1,1,2
0,1402.90000009537,1,1,2
0,754.700000047684,1,2,1
0,1004.40000009537,1,1,1
0,1108.40000009537,1,1,1
0,837.799999952316,1,2,1
0,1124.79999995232,1,0,0
0,1123.09999990463,1,2,1
0,1466.79999995232,1,1,1
0,747.599999904633,1,1,1
0,1116.20000004768,1,1,2
0,1076.09999990463,1,1,2
0,697.900000095367,1,2,1
0,1003.90000009537,1,1,2
0,843.900000095367,1,1,1
0,787.100000143051,1,2,1
0,785.900000095367,1,2,1
0,1021.5,1,2,1
0,739.700000047684,1,0,0
0,1027.89999985695,0,1,1
0,1146.5,1,2,1
0,980.900000095367,1,1,1
0,923.100000143051,1,2,1
0,947.899999856949,1,2,2
0,1170.90000009537,1,2,1
0,883.699999809265,1,2,1
0,660.299999952316,1,0,0
0,1187.80000019073,1,2,1
0,657.5,1,2,1
0,1163.5,1,2,1
0,1139.70000004768,1,2,1
0,948.100000143051,1,0,0
0,852.299999952316,1,2,1
0,1739.90000009537,1,2,1
0,761.199999809265,0,1,1
0,963,1,2,2
0,1435.59999990463,1,2,1
0,1388.29999995232,1,2,1
0,1211.70000004768,1,1,1
0,747.700000047684,1,0,0
0,1653,0,1,1
0,1051.09999990463,1,2,1
0,1731.39999985695,0,0,0
0,883.799999952316,1,2,1
0,1130.59999990463,1,0,0
0,1506.90000009537,1,2,2
0,851.099999904633,0,2,1
0,1389,1,0,0
0,962.5,0,1,1
0,979.899999856949,1,1,1
0,954.799999952316,1,1,1
0,843.899999856949,1,1,1
0,1034.70000004768,1,2,1
0,802.900000095367,1,0,0
0,570.700000047684,1,2,1
0,940.400000095367,1,0,0
0,921,1,2,2
0,1386.5,1,0,0
0,850.199999809265,1,2,1
0,1521.59999990463,1,2,1
0,747.100000143051,1,2,1
0,874.5,1,1,1
0,1010.40000009537,1,2,1
0,722.099999904633,1,0,0
0,1000.79999995232,1,1,1
0,1058.79999995232,1,2,1
0,778.5,1,0,0
0,619.799999952316,1,1,1
0,851.099999904633,1,0,0
0,1106,1,1,1
0,769.200000047684,1,2,2
0,906.599999904633,1,2,1
0,1034.20000004768,1,1,1
0,946.299999952316,1,2,1
0,762.200000047684,1,0,0
0,808.400000095367,1,1,1
0,1353,1,1,2
0,688.600000143051,1,1,2
0,858.899999856949,1,1,1
0,851.5,1,1,1
0,1416.90000009537,1,1,1
0,651,1,0,0
0,636.299999952316,1,2,1
0,738.700000047684,1,2,2
0,1148,1,1,1
0,700.099999904633,1,1,1
0,859,1,1,2
0,988.700000047684,1,2,1
0,946.400000095367,1,1,1
0,700.299999952316,1,1,1
0,752.700000047684,1,2,1
0,658.599999904633,1,1,2
0,754.200000047684,1,1,1
0,842.400000095367,1,2,2
0,650.799999952316,1,2,2
0,649,1,2,1
0,803.799999952316,1,1,1
0,859.100000143051,1,0,0
0,833.799999952316,1,1,1
0,545.299999952316,1,2,1
0,746.200000047684,1,1,1
0,1217.29999995232,1,2,2
0,770.5,1,0,0
0,554.599999904633,1,2,1
0,1081.29999995232,0,1,2
0,1009.59999990463,1,0,0
0,786.299999952316,1,0,0
0,793.400000095367,1,2,1
0,542.799999952316,1,1,1
0,817.300000190735,1,0,0
0,849.899999856949,1,0,0
0,793.5,1,2,1
0,569.899999856949,1,1,1
0,591.700000047684,1,0,0
0,648.099999904633,1,2,1
0,660.799999952316,1,1,1
0,704.200000047684,1,1,1
0,935.5,1,1,2
0,720.799999952316,1,0,0
0,714.299999952316,1,2,1
0,642.700000047684,1,1,1
0,527.099999904633,1,1,1
0,713.200000047684,1,0,0
0,521.099999904633,1,0,0
0,577.700000047684,1,1,1
0,649.900000095367,1,2,1
0,728.400000095367,1,2,1
0,1186.09999990463,1,2,2
0,1361.5,0,1,1
0,626.200000047684,1,1,1
0,626.399999856949,1,2,1
0,618.099999904633,1,0,0
0,658.399999856949,1,2,1
0,657.599999904633,1,0,0
0,681.700000047684,1,0,0
0,395.799999952316,1,0,0
0,874.299999952316,1,2,1
