subID,rt,correct,rwdType,colMatch
0,0.822,1,2,2
0,1.2436,1,2,1
0,0.698,1,1,1
0,0.716,1,2,2
0,0.667,1,0,0
0,0.7951,1,1,1
0,0.7157,1,1,1
0,0.7334,1,0,0
0,0.9416,1,0,0
0,0.9321,1,1,2
0,0.6947,1,0,0
0,1.1558,1,1,1
0,0.8007,1,1,2
0,0.7392,1,1,1
0,0.9016,1,1,1
0,0.7963,1,0,0
0,0.7087,1,1,1
0,1.3571,1,1,2
0,1.4029,1,1,2
0,0.7547,1,2,1
0,1.0044,1,1,1
0,1.1084,1,1,1
0,0.8378,1,2,1
0,1.1248,1,0,0
0,1.1231,1,2,1
0,1.4668,1,1,1
0,0.7476,1,1,1
0,1.1162,1,1,2
0,1.0761,1,1,2
0,0.6979,1,2,1
0,1.0039,1,1,2
0,0.8439,1,1,1
0,0.7871,1,2,1
0,0.7859,1,2,1
0,1.0215,1,2,1
0,0.7397,1,0,0
0,1.0279,0,1,1
0,1.1465,1,2,1
0,0.9809,1,1,1
0,0.9231,1,2,1
0,0.9479,1,2,2
0,1.1709,1,2,1
0,0.8837,1,2,1
0,0.6603,1,0,0
0,1.1878,1,2,1
0,0.6575,1,2,1
0,1.1635,1,2,1
0,1.1397,1,2,1
0,0.9481,1,0,0
0,0.8523,1,2,1
0,1.7399,1,2,1
0,0.7612,0,1,1
0,0.963,1,2,2
0,1.4356,1,2,1
0,1.3883,1,2,1
0,1.2117,1,1,1
0,0.7477,1,0,0
0,1.653,0,1,1
0,1.0511,1,2,1
0,1.7314,0,0,0
0,0.8838,1,2,1
0,1.1306,1,0,0
0,1.5069,1,2,2
0,0.8511,0,2,1
0,1.389,1,0,0
0,0.9625,0,1,1
0,0.9799,1,1,1
0,0.9548,1,1,1
0,0.8439,1,1,1
0,1.0347,1,2,1
0,0.8029,1,0,0
0,0.5707,1,2,1
0,0.9404,1,0,0
0,0.921,1,2,2
0,1.3865,1,0,0
0,0.8502,1,2,1
0,1.5216,1,2,1
0,0.7471,1,2,1
0,0.8745,1,1,1
0,1.0104,1,2,1
0,0.7221,1,0,0
0,1.0008,1,1,1
0,1.0588,1,2,1
0,0.7785,1,0,0
0,0.6198,1,1,1
0,0.8511,1,0,0
0,1.106,1,1,1
0,0.7692,1,2,2
0,0.9066,1,2,1
0,1.0342,1,1,1
0,0.9463,1,2,1
0,0.7622,1,0,0
0,0.8084,1,1,1
0,1.353,1,1,2
0,0.6886,1,1,2
0,0.8589,1,1,1
0,0.8515,1,1,1
0,1.4169,1,1,1
0,0.651,1,0,0
0,0.6363,1,2,1
0,0.7387,1,2,2
0,1.148,1,1,1
0,0.7001,1,1,1
0,0.859,1,1,2
0,0.9887,1,2,1
0,0.9464,1,1,1
0,0.7003,1,1,1
0,0.7527,1,2,1
0,0.6586,1,1,2
0,0.7542,1,1,1
0,0.8424,1,2,2
0,0.6508,1,2,2
0,0.649,1,2,1
0,0.8038,1,1,1
0,0.8591,1,0,0
0,0.8338,1,1,1
0,0.5453,1,2,1
0,0.7462,1,1,1
0,1.2173,1,2,2
0,0.7705,1,0,0
0,0.5546,1,2,1
0,1.0813,0,1,2
0,1.0096,1,0,0
0,0.7863,1,0,0
0,0.7934,1,2,1
0,0.5428,1,1,1
0,0.8173,1,0,0
0,0.8499,1,0,0
0,0.7935,1,2,1
0,0.5699,1,1,1
0,0.5917,1,0,0
0,0.6481,1,2,1
0,0.6608,1,1,1
0,0.7042,1,1,1
0,0.9355,1,1,2
0,0.7208,1,0,0
0,0.7143,1,2,1
0,0.6427,1,1,1
0,0.5271,1,1,1
0,0.7132,1,0,0
0,0.5211,1,0,0
0,0.5777,1,1,1
0,0.6499,1,2,1
0,0.7284,1,2,1
0,1.1861,1,2,2
0,1.3615,0,1,1
0,0.6262,1,1,1
0,0.6264,1,2,1
0,0.6181,1,0,0
0,0.6584,1,2,1
0,0.6576,1,0,0
0,0.6817,1,0,0
0,0.3958,1,0,0
0,0.8743,1,2,1
0,1.3074,0,2,1
0,0.6142,1,1,1
0,1.3616,1,2,2
0,0.4637,1,2,2
0,0.9432,1,0,0
0,0.4345,1,0,0
0,0.673,1,0,0
0,0.8893,1,2,2
0,0.783,1,1,1
0,0.7756,1,2,1
0,0.9605,1,1,1
0,0.8158,1,1,1
0,0.7105,1,1,1
0,1.0653,1,2,1
0,0.7456,1,1,1
0,1.0244,1,1,1
0,0.6105,1,2,1
0,0.8795,1,1,2
0,0.6557,1,2,1
0,0.6821,1,2,1
0,0.7128,1,1,1
0,0.6792,1,2,1
0,0.5207,1,1,1
0,0.7286,0,1,1
0,0.6905,1,1,1
0,0.6065,1,1,2
0,0.7759,1,2,1
0,0.799,0,1,1
0,0.9783,0,0,0
0,1.2211,1,0,0
0,0.8941,1,0,0
0,0.7913,1,0,0
0,0.722,1,1,1
0,0.8402,1,2,2
0,0.6958,1,2,1
0,0.7696,1,2,1
0,1.2561,1,2,1
0,0.5794,1,0,0
0,0.7789,1,1,1
0,0.8647,1,0,0
0,0.6501,1,2,1
0,0.8883,1,0,0
0,0.6584,1,0,0
0,0.5368,1,2,1
0,0.992,1,0,0
0,0.7281,1,1,1
0,0.9772,1,1,2
0,0.8151,1,2,1
0,0.7277,1,0,0
0,0.7535,1,0,0
0,0.9932,1,2,1
0,0.6552,1,1,1
0,0.6652,1,1,1
0,0.7259,1,2,1
0,0.6349,1,0,0
0,0.8902,1,0,0
0,0.8082,1,0,0
0,0.7268,1,1,1
0,0.639,1,0,0
0,0.6725,1,0,0
0,0.7132,1,1,1
0,0.8474,1,1,1
0,1.1765,1,1,1
0,0.6886,1,1,1
0,0.8,1,2,2
0,0.5595,1,0,0
0,0.7285,1,0,0
0,0.6409,1,0,0
0,0.6136,1,2,1
0,0.6171,1,2,2
0,0.5019,1,2,1
0,0.5597,1,2,1
0,0.6709,1,0,0
0,0.6634,1,2,1
0,0.6224,1,0,0
0,1.5198,1,2,1
0,1.2727,0,1,2
0,0.7115,1,0,0
0,0.9586,1,2,1
0,0.7298,1,2,1
0,0.5024,1,1,2
0,0.8084,1,1,1
0,0.6162,1,1,1
0,0.634,1,1,1
0,0.7364,1,2,1
0,0.6098,1,2,1
1,0.7741,1,1,1
1,0.7066,1,2,1
1,0.5723,1,1,1
1,0.8051,1,0,0
1,0.9659,1,2,1
1,0.6766,0,1,2
1,0.8685,1,0,0
1,0.6837,1,2,1
1,0.5418,0,1,1
1,0.5653,1,1,1
1,1.0255,1,2,1
1,0.677,1,2,1
1,0.6127,1,2,1
1,0.8441,0,0,0
1,0.6915,0,0,0
1,0.5964,1,1,1
1,0.7534,0,1,1
1,0.9878,1,2,1
1,0.7179,1,0,0
1,0.7951,1,1,1
1,0.6454,0,2,1
1,0.3886,0,1,2
1,0.6163,1,1,1
1,0.9498,1,1,1
1,0.8769,1,0,0
1,1.0513,1,2,1
1,1.1714,1,1,1
1,0.8831,1,0,0
1,0.634,0,1,1
1,1.0158,1,2,1
1,0.789,1,2,1
1,1.0685,1,1,1
1,1.2442,1,2,1
1,0.8122,1,1,1
1,0.7897,1,0,0
1,1.0622,1,2,1
1,1.6365,1,2,1
1,0.8041,1,0,0
1,0.4622,1,1,2
1,1.2986,1,1,1
1,0.9306,1,2,1
1,1.3873,1,0,0
1,1.2752,0,2,1
1,0.7924,1,2,1
1,0.7343,0,2,1
1,1.187,0,1,1
1,0.9846,1,2,1
1,0.8589,1,2,1
1,0.8283,1,2,2
1,0.8424,0,0,0
1,0.956,1,2,1
1,0.7277,1,2,1
1,0.7244,1,2,1
1,1.0196,0,1,1
1,1.2082,1,1,1
1,1.2174,1,1,1
1,0.8249,1,2,2
1,1.3239,1,1,1
1,0.412,1,2,1
1,0.6619,1,2,2
1,0.8142,1,2,1
1,0.8499,1,2,2
1,0.8115,1,2,2
1,0.7097,1,2,1
1,0.9182,0,1,1
1,0.9627,1,1,1
1,0.9088,0,0,0
1,1.0432,0,0,0
1,0.8197,1,2,1
1,1.3702,0,1,1
1,0.7151,1,1,1
1,0.7629,1,0,0
1,0.7714,1,0,0
1,0.8269,1,2,1
1,0.7329,1,0,0
1,0.4035,0,0,0
1,0.7446,1,2,2
1,0.6822,0,1,1
1,0.9693,1,2,1
1,0.8185,0,2,2
1,0.8415,0,0,0
1,0.6005,1,2,2
1,0.8908,1,2,1
1,0.5549,0,2,1
1,0.7468,1,1,1
1,0.8375,1,0,0
1,0.5545,1,0,0
1,0.6991,0,2,2
1,0.6042,1,0,0
